id,movie_path,dimension,stimulus_type,order_emojis_slider,block,luminance
2,../stimuli/exp_videos/2D/2.mp4,valence,positive,inverse,4,../stimuli/exp_videos/2D/green_intensity_video_12.mp4
3,../stimuli/exp_videos/2D/3.mp4,valence,positive,inverse,4,../stimuli/exp_videos/2D/green_intensity_video_12.mp4
12,../stimuli/exp_videos/2D/12.mp4,valence,negative,inverse,4,../stimuli/exp_videos/2D/green_intensity_video_12.mp4
