id,movie_path,dimension,stimulus_type,order_emojis_slider,block,luminance,audio_report
1,../stimuli/exp_videos/2D/1.mp4,valence,positive,direct,6,../stimuli/exp_videos/2D/green_intensity_video_7.mp4,yes
5,../stimuli/exp_videos/2D/5.mp4,valence,positive,direct,6,../stimuli/exp_videos/2D/green_intensity_video_7.mp4,yes
11,../stimuli/exp_videos/2D/11.mp4,valence,negative,direct,6,../stimuli/exp_videos/2D/green_intensity_video_7.mp4,yes
10,../stimuli/exp_videos/2D/10.mp4,valence,negative,direct,6,../stimuli/exp_videos/2D/green_intensity_video_7.mp4,yes
