movie_path,dimension,hand,stimulus_type,order_emojis_slider,block
./amsterdam_dynamic_facial_expression_set/F03-Sadness-Face Forward.mp4,arousal,right,HV-HA,direct ,8
./amsterdam_dynamic_facial_expression_set/F03-Surprise-Face Forward.mp4,arousal,right,HV-LA,inverse,8
./amsterdam_dynamic_facial_expression_set/F03-Anger-Face Forward.mp4,arousal,right,LV-HA,direct,8
./amsterdam_dynamic_facial_expression_set/F03-Disgust-Face Forward.mp4,arousal,right,LV-LA,inverse,8
