movie_path,dimension,hand,stimulus_type,order_emojis_slider,block
./amsterdam_dynamic_facial_expression_set/F01-Sadness-Face Forward.mp4,valence,left,HV-HA,direct ,6
./amsterdam_dynamic_facial_expression_set/F01-Surprise-Face Forward.mp4,valence,left,HV-LA,inverse,6
./amsterdam_dynamic_facial_expression_set/F01-Anger-Face Forward.mp4,valence,left,LV-HA,direct,6
./amsterdam_dynamic_facial_expression_set/F01-Disgust-Face Forward.mp4,valence,left,LV-LA,inverse,6
