movie_path,dimension,hand,stimulus_type,order_emojis_slider
./amsterdam_dynamic_facial_expression_set/F01-Anger-Face Forward.mp4,arousal,left,HV-HA,direct 
./amsterdam_dynamic_facial_expression_set/F01-Disgust-Face Forward.mp4,arousal,left,HV-LA,inverse
./amsterdam_dynamic_facial_expression_set/F01-Fear-Face Forward.mp4,arousal,left,LV-HA,direct
./amsterdam_dynamic_facial_expression_set/F01-Joy-Face Forward.mp4,arousal,left,LV-LA,inverse
