movie_path,dimension,hand,stimulus_type,order_emojis_slider,block
./amsterdam_dynamic_facial_expression_set/F03-Anger-Face Forward.mp4,valence,right,HV-HA,direct ,3
./amsterdam_dynamic_facial_expression_set/F03-Disgust-Face Forward.mp4,valence,right,HV-LA,inverse,3
./amsterdam_dynamic_facial_expression_set/F03-Fear-Face Forward.mp4,valence,right,LV-HA,direct,3
./amsterdam_dynamic_facial_expression_set/F03-Joy-Face Forward.mp4,valence,right,LV-LA,inverse,3
