id,movie_path,dimension,hand,stimulus_type,order_emojis_slider, block,block,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,continuous_annotation,video_duration,valence_value,arousal_value,preference_value,engagement_value,familiarity_value,checkbox_Neutral,checkbox_Asco,checkbox_Felicidad,checkbox_Sorpresa,checkbox_Ira,checkbox_Miedo,checkbox_Tristeza,continuous_annotation_luminance,stim_value_green,stim_value,recording_dur,subbloque_number,ID,Sesion,Tarea,Consumo de sustancias psicoactivas en las últimas 24 hs,Horas de sueño la noche anterior,date,exp_name,frame_rate,
12,../stimuli/practice_videos/2D/12.0_The fight to save threatened species-1_2d_cropped.mp4,valence,right,HV-LA,direct,0,,0,0,0,0,,,,,"[[0.0, 9.190000128000975e-05], [0.0, 0.020376099972054362], [0.0, 0.033921899972483516], [0.0, 0.0564387000631541], [0.0, 0.08941660006530583], [0.0, 0.1049572000047192], [0.0, 0.12330530001781881], [0.0, 0.13576350000221282], [0.0, 0.16442849999293685], [0.0, 0.20049570000264794], [0.0, 0.21807659999467432], [0.0, 0.23001320008188486], [0.0, 0.2505652999971062], [0.0, 0.2631521000294015], [0.0, 0.2829327000072226], [0.0, 0.2963337000692263], [0.0, 0.3159016000572592], [0.0, 0.32997089996933937], [0.0, 0.3504164000041783], [0.0, 0.363940600072965], [0.0, 0.38368570001330227], [0.0, 0.39664509997237474], [0.0, 0.41647180006839335], [0.0, 0.4299893999705091], [0.0, 0.4497953000245616], [0.0, 0.4638891000067815], [0.0, 0.4834661000641063], [0.0, 0.49694770004134625], [0.0, 0.5163330000359565], [0.0, 0.5295960999792442], [0.0, 0.5537979999789968], [0.0, 0.5636884000850841], [0.0, 0.5841045000124723], [0.0, 0.5968751000473276], [0.0, 0.6175168000627309], [0.0, 0.6299597000470385], [0.0, 0.6506252000108361], [0.0, 0.6639366999734193], [0.0, 0.6839133000466973], [0.0, 0.6974773000692949], [0.0, 0.7170616000657901], [0.0, 0.7307357999961823], [0.0, 0.7499032000778243], [0.0, 0.7641342000570148], [0.0, 0.7822754000080749], [0.0, 0.7961615000385791], [0.0, 0.8158065000316128], [0.0, 0.829583500046283], [0.0, 0.8490533999865875], [0.0, 0.8631218000082299], [0.0, 0.8836652999743819], [0.0, 0.8968558000633493], [0.0, 0.9166784000117332], [0.0, 0.9309738000156358], [0.0, 0.9500279000494629], [0.0, 0.9641426000744104], [0.0, 0.9837513000238687], [0.0, 0.9974208000348881], [0.0, 1.0170144999865443], [0.0, 1.0305200000293553], [0.0, 1.0499360000248998]]",0.0,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 0.0032691999804228544], [0.0, 0.00922869995702058], [0.0, 0.025734600028954446], [0.0, 0.043225100031122565], [0.0, 0.06024350004736334], [0.0, 0.07613219995982945], [0.0, 0.09274120000191033], [0.0, 0.11017520003952086], [0.0, 0.1270178999984637], [0.0, 0.14363790000788867], [0.0, 0.16168280004058033], [0.0, 0.1774423000169918], [0.0, 0.19331889995373785], [0.0, 0.21134419995360076], [0.0, 0.22656179999466985], [0.0, 0.24199390003923327], [0.0, 0.2588132000528276], [0.0, 0.27605049998965114], [0.0, 0.29219389997888356], [0.0, 0.31047629995737225], [0.0, 0.3275893999962136], [0.0, 0.34349250001832843], [0.0, 0.36083779996261]]","[[140.0, 0.0032691999804228544], [140.0, 0.00922869995702058], [140.0, 0.025734600028954446], [140.0, 0.043225100031122565], [140.0, 0.06024350004736334], [140.0, 0.07613219995982945], [140.0, 0.09274120000191033], [140.0, 0.11017520003952086], [140.0, 0.1270178999984637], [140.0, 0.14363790000788867], [140.0, 0.16168280004058033], [140.0, 0.1774423000169918], [140.0, 0.19331889995373785], [140.0, 0.21134419995360076], [140.0, 0.22656179999466985], [140.0, 0.24199390003923327], [140.0, 0.2588132000528276], [140.0, 0.27605049998965114], [140.0, 0.29219389997888356], [140.0, 0.31047629995737225], [140.0, 0.3275893999962136], [140.0, 0.34349250001832843], [140.0, 0.36083779996261]]","[[0.0, 0.0032691999804228544], [0.0, 0.00922869995702058], [0.0, 0.025734600028954446], [0.0, 0.043225100031122565], [0.0, 0.06024350004736334], [0.0, 0.07613219995982945], [0.0, 0.09274120000191033], [0.0, 0.11017520003952086], [0.0, 0.1270178999984637], [0.0, 0.14363790000788867], [0.0, 0.16168280004058033], [0.0, 0.1774423000169918], [0.0, 0.19331889995373785], [0.0, 0.21134419995360076], [0.0, 0.22656179999466985], [0.0, 0.24199390003923327], [0.0, 0.2588132000528276], [0.0, 0.27605049998965114], [0.0, 0.29219389997888356], [0.0, 0.31047629995737225], [0.0, 0.3275893999962136], [0.0, 0.34349250001832843], [0.0, 0.36083779996261]]",,,77,A,non_immersive,No,8,2024-05-31_20h09.16.532,Experiment_VR_non_immersive,59.94255106821844,
53,../stimuli/practice_videos/2D/53.0_Tomorrowland 2014-1_2d_cropped.mp4,arousal,right,LV-HA,direct,0,,0,1,1,1,,,,,"[[0.0, 4.269997589290142e-05], [0.0, 0.017974399961531162], [0.0, 0.03520769998431206], [0.0, 0.053256999934092164], [0.0, 0.06980109994765371], [0.0, 0.08740499999839813], [0.0, 0.10257059999275953], [0.0, 0.12224249995779246], [0.0, 0.1365781999193132], [0.0, 0.1569071999983862], [0.0, 0.1715568999061361], [0.0, 0.19099159992765635], [0.0, 0.2033280999166891], [0.0, 0.2236180999316275], [0.0, 0.2345959999365732], [0.0, 0.25349789997562766], [0.0, 0.26772439992055297], [0.0, 0.2869413999142125], [0.0, 0.3010592999635264], [0.0, 0.32090799999423325], [0.0, 0.33507919998373836], [0.0, 0.35518640000373125], [0.0, 0.37081869994290173], [0.0, 0.38813169999048114], [0.0, 0.4045402999036014], [0.0, 0.4232785999774933], [0.0, 0.4373458999907598]]",0.0,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 0.004747500061057508], [0.0, 0.015881799976341426], [0.0, 0.032671599998138845], [0.0, 0.047917500021867454], [0.0, 0.06466240005102009], [0.0, 0.08163869997952133], [0.0, 0.09897240006830543], [0.0, 0.11469399998895824], [0.0, 0.12805230007506907], [0.0, 0.14460420003160834], [0.0, 0.16075490007642657], [0.0, 0.1777210000436753], [0.0, 0.19582220003940165], [0.0, 0.21340670005884022], [0.0, 0.22918080003000796], [0.0, 0.24538059998303652], [0.0, 0.2635839000577107], [0.0, 0.27903520001564175], [0.0, 0.295465899980627], [0.0, 0.31279850006103516], [0.0, 0.3289616999682039], [0.0, 0.3457600000547245], [0.0, 0.361439700005576], [0.0, 0.37833740003407], [0.0, 0.3955063000321388], [0.0, 0.41136719996575266], [0.0, 0.4275631000055]]","[[140.0, 0.004747500061057508], [140.0, 0.015881799976341426], [140.0, 0.032671599998138845], [140.0, 0.047917500021867454], [140.0, 0.06466240005102009], [140.0, 0.08163869997952133], [140.0, 0.09897240006830543], [140.0, 0.11469399998895824], [140.0, 0.12805230007506907], [140.0, 0.14460420003160834], [140.0, 0.16075490007642657], [140.0, 0.1777210000436753], [140.0, 0.19582220003940165], [140.0, 0.21340670005884022], [140.0, 0.22918080003000796], [140.0, 0.24538059998303652], [140.0, 0.2635839000577107], [140.0, 0.27903520001564175], [140.0, 0.295465899980627], [140.0, 0.31279850006103516], [140.0, 0.3289616999682039], [140.0, 0.3457600000547245], [140.0, 0.361439700005576], [140.0, 0.37833740003407], [140.0, 0.3955063000321388], [140.0, 0.41136719996575266], [140.0, 0.4275631000055]]","[[0.0, 0.004747500061057508], [0.0, 0.015881799976341426], [0.0, 0.032671599998138845], [0.0, 0.047917500021867454], [0.0, 0.06466240005102009], [0.0, 0.08163869997952133], [0.0, 0.09897240006830543], [0.0, 0.11469399998895824], [0.0, 0.12805230007506907], [0.0, 0.14460420003160834], [0.0, 0.16075490007642657], [0.0, 0.1777210000436753], [0.0, 0.19582220003940165], [0.0, 0.21340670005884022], [0.0, 0.22918080003000796], [0.0, 0.24538059998303652], [0.0, 0.2635839000577107], [0.0, 0.27903520001564175], [0.0, 0.295465899980627], [0.0, 0.31279850006103516], [0.0, 0.3289616999682039], [0.0, 0.3457600000547245], [0.0, 0.361439700005576], [0.0, 0.37833740003407], [0.0, 0.3955063000321388], [0.0, 0.41136719996575266], [0.0, 0.4275631000055]]",,,77,A,non_immersive,No,8,2024-05-31_20h09.16.532,Experiment_VR_non_immersive,59.94255106821844,
12.99,../stimuli/practice_videos/2D/12.99_The fight to save threatened species-1_2d_cropped.mp4,arousal,right,LV-LA,inverse,0,,0,2,2,2,,,,,"[[0.0, 6.160000339150429e-05], [0.0, 0.01578040001913905], [0.0, 0.032335500000044703], [0.0, 0.050704300054349005], [0.0, 0.06608420005068183], [0.0, 0.08618240000214428], [0.0, 0.09971340000629425], [0.0, 0.11972259997855872], [0.0, 0.1332609000382945], [0.0, 0.15455800003837794], [0.0, 0.16738640004768968], [0.0, 0.18714110006112605], [0.0, 0.2013495999854058], [0.0, 0.22034320002421737], [0.0, 0.2341642000246793], [0.0, 0.2546339000109583], [0.0, 0.2678007000358775], [0.0, 0.2851986000314355], [0.0, 0.29938009998295456], [0.0, 0.3187033999711275], [0.0, 0.3326340999919921], [0.0, 0.35346340003889054], [0.0, 0.3669118999969214], [0.0, 0.3869280000217259], [0.0, 0.3995495999697596], [0.0, 0.42085140000563115], [0.0, 0.43387569999322295], [0.0, 0.4531832999782637], [0.0, 0.46683609997853637], [0.0, 0.48647570004686713], [0.0, 0.501053599989973], [0.0, 0.5192715000594035], [0.0, 0.5340207000263035], [0.0, 0.5519120000535622], [0.0, 0.565998199977912], [0.0, 0.5861375000094995], [0.0, 0.5994266000343487], [0.0, 0.6201747000450268], [0.0, 0.6330672999611124], [0.0, 0.6534628999652341], [0.0, 0.666840499965474], [0.0, 0.6877430999884382], [0.0, 0.7006314999889582], [0.0, 0.7210069999564439], [0.0, 0.734176900004968], [0.0, 0.7539259999757633], [0.0, 0.7675999000202864], [0.0, 0.7867087000049651], [0.0, 0.8005094999680296], [0.0, 0.8189410000341013], [0.0, 0.832673600059934], [0.0, 0.8546726000495255], [0.0, 0.8659817000152543]]",0.0,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 0.003092199913226068], [0.0, 0.020626400015316904], [0.0, 0.036964499973692], [0.0, 0.0543573999311775], [0.0, 0.07210999995004386], [0.0, 0.08779599994886667], [0.0, 0.10514379991218448], [0.0, 0.12246240000240505], [0.0, 0.1382527999812737], [0.0, 0.15550039999652654], [0.0, 0.17159899999387562], [0.0, 0.18810209992807359], [0.0, 0.20524279994424433], [0.0, 0.22081319999415427], [0.0, 0.23788629996124655], [0.0, 0.25318629993125796], [0.0, 0.2700364999473095], [0.0, 0.2912111999467015], [0.0, 0.30860370001755655], [0.0, 0.3212534999474883], [0.0, 0.33965679991524667], [0.0, 0.35500239999964833], [0.0, 0.3708075999747962], [0.0, 0.3900290000019595], [0.0, 0.40474749996792525], [0.0, 0.42172370001208037], [0.0, 0.43789219995960593]]","[[140.0, 0.003092199913226068], [140.0, 0.020626400015316904], [140.0, 0.036964499973692], [140.0, 0.0543573999311775], [140.0, 0.07210999995004386], [140.0, 0.08779599994886667], [140.0, 0.10514379991218448], [140.0, 0.12246240000240505], [140.0, 0.1382527999812737], [140.0, 0.15550039999652654], [140.0, 0.17159899999387562], [140.0, 0.18810209992807359], [140.0, 0.20524279994424433], [140.0, 0.22081319999415427], [140.0, 0.23788629996124655], [140.0, 0.25318629993125796], [140.0, 0.2700364999473095], [140.0, 0.2912111999467015], [140.0, 0.30860370001755655], [140.0, 0.3212534999474883], [140.0, 0.33965679991524667], [140.0, 0.35500239999964833], [140.0, 0.3708075999747962], [140.0, 0.3900290000019595], [140.0, 0.40474749996792525], [140.0, 0.42172370001208037], [140.0, 0.43789219995960593]]","[[-0.0, 0.003092199913226068], [-0.0, 0.020626400015316904], [-0.0, 0.036964499973692], [-0.0, 0.0543573999311775], [-0.0, 0.07210999995004386], [-0.0, 0.08779599994886667], [-0.0, 0.10514379991218448], [-0.0, 0.12246240000240505], [-0.0, 0.1382527999812737], [-0.0, 0.15550039999652654], [-0.0, 0.17159899999387562], [-0.0, 0.18810209992807359], [-0.0, 0.20524279994424433], [-0.0, 0.22081319999415427], [-0.0, 0.23788629996124655], [-0.0, 0.25318629993125796], [-0.0, 0.2700364999473095], [-0.0, 0.2912111999467015], [-0.0, 0.30860370001755655], [-0.0, 0.3212534999474883], [-0.0, 0.33965679991524667], [-0.0, 0.35500239999964833], [-0.0, 0.3708075999747962], [-0.0, 0.3900290000019595], [-0.0, 0.40474749996792525], [-0.0, 0.42172370001208037], [-0.0, 0.43789219995960593]]",,,77,A,non_immersive,No,8,2024-05-31_20h09.16.532,Experiment_VR_non_immersive,59.94255106821844,
66,../stimuli/practice_videos/2D/66.0_Great Hammerhead Shark Encounter-1_2d_cropped.mp4,arousal,left,HV-LA,inverse,0,,0,3,3,3,,,,,"[[0.0, 4.5900000259280205e-05], [0.0, 0.018853000015951693], [0.0, 0.033872899948619306], [0.0, 0.053468900034204125], [0.0, 0.06843410001602024], [0.0, 0.08919189998414367], [0.0, 0.10138330003246665], [0.0, 0.12175239995121956], [0.0, 0.13563929998781532], [0.0, 0.15543199994135648], [0.0, 0.1691624999511987], [0.0, 0.18864229996688664], [0.0, 0.2021986999316141], [0.0, 0.22139329998753965], [0.0, 0.2351279000286013], [0.0, 0.2556526999687776], [0.0, 0.268550300039351], [0.0, 0.2897922999691218], [0.0, 0.3219862999394536], [0.0, 0.33536739996634424], [0.0, 0.356288000009954], [0.0, 0.36857599997892976], [0.0, 0.3890533000230789], [0.0, 0.4028032999485731], [0.0, 0.4212580999592319], [0.0, 0.43667950003873557], [0.0, 0.4558767999988049], [0.0, 0.47035900002811104], [0.0, 0.48936290002893656], [0.0, 0.5038277000421658], [0.0, 0.5200553999748081], [0.0, 0.5346647000405937], [0.0, 0.555895600002259], [0.0, 0.5681491999421269], [0.0, 0.5883087000111118], [0.0, 0.6022154999664053], [0.0, 0.6212081999983639], [0.0, 0.6366750999586657], [0.0, 0.6546205999329686], [0.0, 0.6701622999971732], [0.0, 0.6895859999349341], [0.0, 0.7030990000348538], [0.0, 0.7222944999812171], [0.0, 0.7370683000190184], [0.0, 0.7554131000069901], [0.0, 0.7702831999631599], [0.0, 0.7886210000142455], [0.0, 0.8016556999646127], [0.0, 0.8223417999688536], [0.0, 0.8376630999846384], [0.0, 0.8575159000465646], [0.0, 0.8700489000184461], [0.0, 0.8898693999508396], [0.0, 0.9034319999627769], [0.0, 0.9282957999967039], [0.0, 0.9563280999427661], [0.0, 0.9717745999805629], [0.0, 0.991719999932684], [0.0, 1.0087259999709204], [0.0, 1.0248487000353634], [0.0, 1.0386380000272766], [0.0, 1.0545706000411883], [0.0, 1.0694378999760374], [0.0, 1.0880955000175163], [0.0, 1.1010768000269309], [0.0, 1.1201628999551758], [0.0, 1.13444699998945], [0.0, 1.1566463999915868], [0.0, 1.168532200041227], [0.0, 1.187599999946542], [0.0, 1.2017835000297055], [0.0, 1.2213194000069052], [0.0, 1.2366111000301316], [0.0, 1.2552551999688148], [0.0, 1.2695143000455573], [0.0, 1.2880486999638379], [0.0, 1.3032494999933988], [0.0, 1.3212816000450402], [0.0, 1.3358883999753743], [0.0, 1.3549025999382138], [0.0, 1.3677551000146195]]",0.0,,,,,,,,,,,,,,,,10.088179699960165,,77,A,non_immersive,No,8,2024-05-31_20h09.16.532,Experiment_VR_non_immersive,59.94255106821844,
