condsFile,dimension,hand
../conditions/A/A_block_1_arousal_right.csv,arousal,right
../conditions/A/A_block_2_arousal_right.csv,arousal,right
../conditions/A/A_block_3_valence_right.csv,valence,right
../conditions/A/A_block_4_valence_right.csv,valence,right
