id,movie_path,dimension,hand,stimulus_type,order_emojis_slider, block,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block,continuous_annotation,video_duration,valence_value,arousal_value,preference_value,engagement_value,familiarity_value,FMS_value,checkbox_Neutral,checkbox_Asco,checkbox_Felicidad,checkbox_Sorpresa,checkbox_Enojo,checkbox_Miedo,checkbox_Tristeza,continuous_annotation_luminance,stim_value_green,stim_value,recording_dur,ID,Sesion,Tarea,Consumo de sustancias psicoactivas en las últimas 24 hs,Horas de sueño la noche anterior,date,exp_name,frame_rate,
991,../stimuli/practice_videos/2D/991.mp4,valence,right,negative,direct,0,0,0,0,0,,,,,,"[[0.0, 7.760000880807638e-05], [0.0, 0.01676969999971334], [0.0, 0.033227400010218844], [0.0, 0.05695980000018608], [0.0, 0.1138070000015432], [0.0, 0.16592510000918992], [0.0, 0.21348700000089593], [0.0, 0.28738230001181364], [0.0, 0.3704604000085965], [0.0, 0.47819110000273213], [0.0, 0.5779200000106357], [0.0, 0.6781923000089591], [0.0, 0.7792354999983218], [0.0, 0.8815002000046661], [0.0, 0.9790292000107002], [0.0, 1.0798255999980029], [0.0, 1.1847043000016129], [0.0, 1.2956540000013774], [0.0, 1.3963962999987416], [0.0, 1.4964898000034736], [0.0, 1.598990300000878]]",0.0,None,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 0.0028725000011036173], [0.0, 0.025147599997580983], [0.0, 0.041250900001614355], [0.0, 0.05810090000159107], [0.0, 0.07442190000438131], [0.0, 0.09107569999468978], [0.0, 0.10801979999814648], [0.0, 0.12467239999386948], [0.0, 0.14115680000395514], [0.0, 0.15800219999800902]]","[[140.0, 0.0028725000011036173], [140.0, 0.025147599997580983], [140.0, 0.041250900001614355], [140.0, 0.05810090000159107], [140.0, 0.07442190000438131], [140.0, 0.09107569999468978], [140.0, 0.10801979999814648], [140.0, 0.12467239999386948], [140.0, 0.14115680000395514], [140.0, 0.15800219999800902]]","[[0.0, 0.0028725000011036173], [0.0, 0.025147599997580983], [0.0, 0.041250900001614355], [0.0, 0.05810090000159107], [0.0, 0.07442190000438131], [0.0, 0.09107569999468978], [0.0, 0.10801979999814648], [0.0, 0.12467239999386948], [0.0, 0.14115680000395514], [0.0, 0.15800219999800902]]",,901,A,non_immersive,No,8,2024-06-26_12h57.39.634,Experiment_VR_non_immersive,60.00610861772552,
992,../stimuli/practice_videos/2D/992.mp4,arousal,right,negative,direct,0,0,1,1,1,,,,,,"[[0.0, 6.830001075286418e-05], [0.0, 0.015489600002183579], [0.0, 0.03201560000889003], [0.0, 0.05541070000617765], [0.0, 0.11285160000261385], [0.0, 0.1632106000033673], [0.0, 0.21217690000776201], [0.0, 0.2620187000138685], [0.0, 0.33589470000879373], [0.0, 0.4195878000027733], [0.0, 0.5268811999994796], [0.0, 0.6291552000038791], [0.0, 0.7277384000044549], [0.0, 0.827241300008609], [0.0, 0.9266994000063278], [0.0, 1.0259140000125626], [0.0, 1.1267765000084182], [0.0, 1.227947100007441], [0.0, 1.3310265000036452], [0.0, 1.4273820000089472], [0.0, 1.528102200012654], [0.0, 1.628644800002803], [0.0, 1.7279758000076981]]",0.0,None,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 0.002904399996623397], [0.0, 0.012419699996826239], [0.0, 0.02758019999600947], [0.0, 0.04420800000661984], [0.0, 0.060744300004444085], [0.0, 0.07741769999847747], [0.0, 0.09421100000326987], [0.0, 0.11047440000402275], [0.0, 0.1268629999976838], [0.0, 0.1435267000051681], [0.0, 0.1602186999953119], [0.0, 0.17689899999822956], [0.0, 0.19379259999550413], [0.0, 0.21024010000110138], [0.0, 0.22701990000496153]]","[[140.0, 0.002904399996623397], [140.0, 0.012419699996826239], [140.0, 0.02758019999600947], [140.0, 0.04420800000661984], [140.0, 0.060744300004444085], [140.0, 0.07741769999847747], [140.0, 0.09421100000326987], [140.0, 0.11047440000402275], [140.0, 0.1268629999976838], [140.0, 0.1435267000051681], [140.0, 0.1602186999953119], [140.0, 0.17689899999822956], [140.0, 0.19379259999550413], [140.0, 0.21024010000110138], [140.0, 0.22701990000496153]]","[[0.0, 0.002904399996623397], [0.0, 0.012419699996826239], [0.0, 0.02758019999600947], [0.0, 0.04420800000661984], [0.0, 0.060744300004444085], [0.0, 0.07741769999847747], [0.0, 0.09421100000326987], [0.0, 0.11047440000402275], [0.0, 0.1268629999976838], [0.0, 0.1435267000051681], [0.0, 0.1602186999953119], [0.0, 0.17689899999822956], [0.0, 0.19379259999550413], [0.0, 0.21024010000110138], [0.0, 0.22701990000496153]]",,901,A,non_immersive,No,8,2024-06-26_12h57.39.634,Experiment_VR_non_immersive,60.00610861772552,
993,../stimuli/practice_videos/2D/993.mp4,arousal,right,negative,inverse,0,0,2,2,2,,,,,,"[[0.0, 8.040000102482736e-05], [0.0, 0.01695470001141075], [0.0, 0.0333565000037197], [0.0, 0.056584700010716915], [0.0, 0.11333340000419412], [0.0, 0.16555000000516884], [0.0, 0.21581480000168085], [0.0, 0.28770780000195373]]",0.0,None,None,None,None,None,None,False,False,False,False,False,False,False,"[[-0.022084514315005466, 0.0029447999986587092], [-0.07361504771668503, 0.013644299993757159], [-0.22820664792172352, 0.03006989999266807], [-0.36807523858342495, 0.04707749999943189], [-0.382798248126762, 0.06346130000019912], [-0.382798248126762, 0.0799369000014849], [-0.22820664792172352, 0.09649080000235699], [0.06625354294501662, 0.11382299999240786], [0.5889203817334798, 0.1301515999948606], [1.0, 0.1468657999939751], [1.0, 0.1631643000000622], [1.0, 0.17976149999594782], [1.0, 0.19632760000240523], [1.0, 0.21338299999479204], [1.0, 0.22966329999326263], [1.0, 0.24661109999578912], [1.0, 0.26301100000273436], [1.0, 0.2798099999927217]]","[[140.0, 0.0029447999986587092], [140.0, 0.013644299993757159], [140.0, 0.03006989999266807], [140.0, 0.04707749999943189], [140.0, 0.06346130000019912], [140.0, 0.0799369000014849], [140.0, 0.09649080000235699], [140.0, 0.11382299999240786], [140.0, 0.1301515999948606], [140.0, 0.1468657999939751], [140.0, 0.1631643000000622], [140.0, 0.17976149999594782], [140.0, 0.19632760000240523], [140.0, 0.21338299999479204], [140.0, 0.22966329999326263], [140.0, 0.24661109999578912], [140.0, 0.26301100000273436], [140.0, 0.2798099999927217]]","[[-0.0, 0.0029447999986587092], [-0.0, 0.013644299993757159], [-0.0, 0.03006989999266807], [-0.0, 0.04707749999943189], [-0.0, 0.06346130000019912], [-0.0, 0.0799369000014849], [-0.0, 0.09649080000235699], [-0.0, 0.11382299999240786], [-0.0, 0.1301515999948606], [-0.0, 0.1468657999939751], [-0.0, 0.1631643000000622], [-0.0, 0.17976149999594782], [-0.0, 0.19632760000240523], [-0.0, 0.21338299999479204], [-0.0, 0.22966329999326263], [-0.0, 0.24661109999578912], [-0.0, 0.26301100000273436], [-0.0, 0.2798099999927217]]",,901,A,non_immersive,No,8,2024-06-26_12h57.39.634,Experiment_VR_non_immersive,60.00610861772552,
994,../stimuli/practice_videos/2D/994.mp4,arousal,right,negative,inverse,0,0,3,3,3,,,,,,"[[0.0, 7.869998808018863e-05], [0.0, 0.016230799999902956], [0.0, 0.03371849999530241], [0.0, 0.056764900000416674], [0.0, 0.11326269998971839], [0.0, 0.16298329998971894], [0.0, 0.2149879999924451], [0.0, 0.26302809998742305], [0.0, 0.33666629999061115], [0.0, 0.42033470000023954], [0.0, 0.528681299998425], [0.0, 0.6265137999871513], [0.0, 0.7297113999957219], [0.0, 0.8316606000007596], [0.0, 0.9450654999964172], [0.0, 1.0482122999965213], [0.0, 1.1452417999971658], [0.0, 1.2448129999975208], [0.0, 1.3452542999875732], [0.0, 1.4455053999990923], [0.0, 1.5455217999988236], [0.0, 1.6457130999915535], [0.0, 1.7451346999878297], [0.0, 1.8501107999909436], [0.0, 1.9712807999894721], [0.0, 2.0776523999957135]]",0.0,,,,,,,,,,,,,,,,,1.0798132000054466,901,A,non_immersive,No,8,2024-06-26_12h57.39.634,Experiment_VR_non_immersive,60.00610861772552,
