movie_path,emotion,stim_gender,correct_response,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,emotion_key,emotion_rt,response,final_valence_rating,Subject_id,Age,Gender,Group,date,frame_rate,
./amsterdam_dynamic_facial_expression_set/M02-Surprise-Face Forward.mp4,Suprise,male,6,0,0,0,1,,,,,1,1.3819847000122536,incorrect,,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-01-25_19h54.12.504,None,
./amsterdam_dynamic_facial_expression_set/F03-Fear-Face Forward.mp4,Fear,female,2,0,1,1,0,,,,,1,0.635451899986947,incorrect,,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-01-25_19h54.12.504,None,
./amsterdam_dynamic_facial_expression_set/F01-Fear-Face Forward.mp4,Fear,female,2,,,,,0,0,0,2,1,1.0827710000157822,incorrect,5.0,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-01-25_19h54.12.504,None,
