movie_path,emotion,stim_gender,correct_response,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,emotion_key,emotion_rt,response,final_valence_rating,Subject_id,Age,Gender,Group,date,frame_rate,
./amsterdam_dynamic_facial_expression_set/M02-Surprise-Face Forward.mp4,Suprise,male,6,0,0,0,1,,,,,1,0.7433185999980196,incorrect,,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-01-23_14h52.26.562,60.84160981871217,
./amsterdam_dynamic_facial_expression_set/F03-Fear-Face Forward.mp4,Fear,female,2,0,1,1,0,,,,,1,0.7044119000056526,incorrect,,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-01-23_14h52.26.562,60.84160981871217,
./amsterdam_dynamic_facial_expression_set/F01-Anger-Face Forward.mp4,Anger,female,1,,,,,0,0,0,0,1,0.6038304999965476,correct,2.25,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-01-23_14h52.26.562,60.84160981871217,
