movie_path,dimension,hand,stimulus_type,order_emojis_slider, block,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,continuous_annotation,video_duration,valence_value,arousal_value,preference_value,engagement_value,familiarity_value,checkbox_Neutral,checkbox_Asco,checkbox_Felicidad,checkbox_Sorpresa,checkbox_Ira,checkbox_Miedo,checkbox_Tristeza,continuous_annotation_luminance,stim_value_green,stim_value,Subject_id,Age,Gender,Group,date,frame_rate,
./amsterdam_dynamic_facial_expression_set/F01-Disgust-Face Forward.mp4,valence,right,HV-LA,direct,0,0,0,0,0,"[[0.0, 0.014921699999831617], [0.0, 0.029187899985117838], [0.0, 0.04597830001148395], [0.0, 0.06660399999236688], [0.0, 0.0829070000036154], [0.0, 0.09927400000742637], [0.0, 0.11553559999447316], [0.0, 0.13217540000914596], [0.0, 0.1478099999949336], [0.0, 0.16511510001146235], [0.0, 0.18210149998776615], [0.0, 0.1987442999961786], [0.0, 0.2154961999913212], [0.0, 0.23184419999597594], [0.0, 0.24971720000030473], [0.0, 0.26607220000005327]]",6.01,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 7.900414700008696], [0.0, 7.906593499996234], [0.0, 7.919909099990036], [0.0, 7.936741199984681], [0.0, 7.953551599988714], [0.0, 7.973054100002628], [0.0, 7.993222599994624], [0.0, 8.005927899997914], [0.0, 8.022010499989847], [0.0, 8.040880899992771], [0.0, 8.057943799998611], [0.0, 8.074580099986633], [0.0, 8.08948190000956], [0.0, 8.107992100005504], [0.0, 8.12224779999815], [0.0, 8.141061900008935], [0.0, 8.157803599984618], [0.0, 8.175162900006399], [0.0, 8.18867329999921], [0.0, 8.208364299993264], [0.0, 8.224392500007525], [0.0, 8.239580699999351]]","[[140.0, 0.00010979999206028879], [140.0, 0.006306299997959286], [140.0, 0.01969029998872429], [140.0, 0.03596290000132285], [140.0, 0.052700100000947714], [140.0, 0.07125609999638982], [140.0, 0.09036420000484213], [140.0, 0.10511010000482202], [140.0, 0.12104860000545159], [140.0, 0.13939009999739937], [140.0, 0.1562534999975469], [140.0, 0.17343729999265634], [140.0, 0.1884256000048481], [140.0, 0.20660609999322332], [140.0, 0.22149919997900724], [140.0, 0.23965239999233745], [140.0, 0.2560537999961525], [140.0, 0.27380349999293685], [140.0, 0.28794439998455346], [140.0, 0.30681720000575297], [140.0, 0.323198300000513], [140.0, 0.33863869999186136]]","[[0.0, 0.00010979999206028879], [0.0, 0.006306299997959286], [0.0, 0.01969029998872429], [0.0, 0.03596290000132285], [0.0, 0.052700100000947714], [0.0, 0.07125609999638982], [0.0, 0.09036420000484213], [0.0, 0.10511010000482202], [0.0, 0.12104860000545159], [0.0, 0.13939009999739937], [0.0, 0.1562534999975469], [0.0, 0.17343729999265634], [0.0, 0.1884256000048481], [0.0, 0.20660609999322332], [0.0, 0.22149919997900724], [0.0, 0.23965239999233745], [0.0, 0.2560537999961525], [0.0, 0.27380349999293685], [0.0, 0.28794439998455346], [0.0, 0.30681720000575297], [0.0, 0.323198300000513], [0.0, 0.33863869999186136]]",S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-04-16_17h47.21.578,61.054347524057704,
./amsterdam_dynamic_facial_expression_set/F01-Fear-Face Forward.mp4,arousal,right,LV-HA,direct,0,0,1,1,1,"[[0.0, 0.010875400010263547], [0.0, 0.026393000007374212], [0.0, 0.04454860000987537], [0.0, 0.0624631000100635], [0.0, 0.07510200000251643], [0.0, 0.09062669999548234], [0.0, 0.10743400000501424], [0.0, 0.12675190001027659], [0.0, 0.14507239998783916], [0.0, 0.16003130000899546], [0.0, 0.17855209999834187], [0.0, 0.19377280000480823], [0.0, 0.21237019999534823], [0.0, 0.2257374000037089], [0.0, 0.24272400001063943]]",6.01,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 8.000423799996497], [0.0, 8.011166200012667], [0.0, 8.026002200000221], [0.0, 8.040330999996513], [0.0, 8.047456900007091], [0.0, 8.060815400007414], [0.0, 8.077063600008842], [0.0, 8.09547910001129], [0.0, 8.113130599987926], [0.0, 8.12989720000769], [0.0, 8.144359400001122], [0.0, 8.160582999989856], [0.0, 8.178651700000046], [0.0, 8.19641559998854], [0.0, 8.211924100003671], [0.0, 8.228866199991899], [0.0, 8.24256489999243], [0.0, 8.262416499987012], [0.0, 8.280139999988023], [0.0, 8.294679100014037], [0.0, 8.310991000005743], [0.0, 8.32734970000456], [0.0, 8.343857700005174], [0.0, 8.36246810000739], [0.0, 8.378703800000949]]","[[140.0, 0.0001168999879155308], [140.0, 0.011631300003500655], [140.0, 0.02594009999302216], [140.0, 0.04056620001210831], [140.0, 0.047247599984984845], [140.0, 0.060661900002742186], [140.0, 0.07679829999688081], [140.0, 0.09451629998511635], [140.0, 0.11179439999978058], [140.0, 0.12918240000726655], [140.0, 0.1440948999952525], [140.0, 0.16031909998855554], [140.0, 0.17793360000359826], [140.0, 0.1951237999892328], [140.0, 0.21135339999455027], [140.0, 0.22793980001006275], [140.0, 0.2428446999983862], [140.0, 0.26188700000056997], [140.0, 0.27938749999157153], [140.0, 0.294331199984299], [140.0, 0.3107167999842204], [140.0, 0.32714259999920614], [140.0, 0.3437192999990657], [140.0, 0.3615257999917958], [140.0, 0.3781087000097614]]","[[0.0, 0.0001168999879155308], [0.0, 0.011631300003500655], [0.0, 0.02594009999302216], [0.0, 0.04056620001210831], [0.0, 0.047247599984984845], [0.0, 0.060661900002742186], [0.0, 0.07679829999688081], [0.0, 0.09451629998511635], [0.0, 0.11179439999978058], [0.0, 0.12918240000726655], [0.0, 0.1440948999952525], [0.0, 0.16031909998855554], [0.0, 0.17793360000359826], [0.0, 0.1951237999892328], [0.0, 0.21135339999455027], [0.0, 0.22793980001006275], [0.0, 0.2428446999983862], [0.0, 0.26188700000056997], [0.0, 0.27938749999157153], [0.0, 0.294331199984299], [0.0, 0.3107167999842204], [0.0, 0.32714259999920614], [0.0, 0.3437192999990657], [0.0, 0.3615257999917958], [0.0, 0.3781087000097614]]",S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-04-16_17h47.21.578,61.054347524057704,
./amsterdam_dynamic_facial_expression_set/F01-Joy-Face Forward.mp4,arousal,right,LV-LA,inverse,0,0,2,2,2,"[[0.0, 0.008878000022377819], [0.0, 0.02241650002542883], [0.0, 0.037937200017040595], [0.0, 0.05320330001995899], [0.0, 0.07099320000270382], [0.0, 0.08805950000532903], [0.0, 0.10556210001232103], [0.0, 0.12719250001828186], [0.0, 0.1418108000070788], [0.0, 0.1552866000274662], [0.0, 0.172301000013249], [0.0, 0.19212410002364777], [0.0, 0.2054884000099264], [0.0, 0.22304320000694133], [0.0, 0.23884370000450872], [0.0, 0.2564544000197202], [0.0, 0.2720722000231035], [0.0, 0.2891158999991603], [0.0, 0.3056026000122074], [0.0, 0.3212223000009544], [0.0, 0.33741880001616664], [0.0, 0.3550822000252083], [0.0, 0.37139300000853837], [0.0, 0.3879513000138104], [0.0, 0.4062726000265684], [0.0, 0.42288350002490915], [0.0, 0.4386577000259422], [0.0, 0.45733070001006126], [0.0, 0.47226610002689995], [0.0, 0.48850300000049174], [0.0, 0.5078252000093926], [0.0, 0.5230084000213537], [0.0, 0.5387065000250004], [0.0, 0.5561290000041481], [0.0, 0.5714721000113059], [0.0, 0.5874717000115197], [0.0, 0.6038976999989245], [0.0, 0.6201021000160836], [0.0, 0.6397840999998152], [0.0, 0.6553882000152953], [0.0, 0.6725608000124339], [0.0, 0.6889174000243656], [0.0, 0.7073294000001624], [0.0, 0.723771700024372], [0.0, 0.7389025000156835], [0.0, 0.7583661000244319], [0.0, 0.7715588000137359], [0.0, 0.7862134000170045], [0.0, 0.8038199000002351], [0.0, 0.8196519000048283], [0.0, 0.8377282000146806], [0.0, 0.8537962000118569], [0.0, 0.873401200020453], [0.0, 0.8892538000072818], [0.0, 0.9077008000167552], [0.0, 0.9200391000194941], [0.0, 0.934733200003393], [0.0, 0.9423943000147119], [0.0, 0.957726000022376], [0.0, 0.9692773999995552], [0.0, 0.9744721000024583], [0.0, 0.986488200025633], [0.0, 1.0037126000097487], [0.0, 1.0201910000178032], [0.0, 1.0356900000188034], [0.0, 1.041367199999513], [0.0, 1.053792800026713], [0.0, 1.0698659000045154], [0.0, 1.088188000023365], [0.0, 1.103786100022262], [0.0, 1.1208322000165936], [0.0, 1.1363750000018626], [0.0, 1.1523669000016525], [0.0, 1.1673858000140171], [0.0, 1.174055400013458], [0.0, 1.1858972000190988], [0.0, 1.2007133000006434], [0.0, 1.2074201000214089], [0.0, 1.2204680000140797], [0.0, 1.2370785000093747], [0.0, 1.2562142000242602], [0.0, 1.273104300023988], [0.0, 1.2889447000052314], [0.0, 1.3046910000266507], [0.0, 1.3201850000186823], [0.0, 1.33770820000791], [0.0, 1.3558564000122715], [0.0, 1.3741019000008237], [0.0, 1.391984300018521], [0.0, 1.4056933000101708], [0.0, 1.4227491000201553], [0.0, 1.4389726000081282], [0.0, 1.4582208000065293], [0.0, 1.4725436000153422], [0.0, 1.4898237000161316], [0.0, 1.5057746000238694], [0.0, 1.5212079000193626], [0.0, 1.5367469000048004], [0.0, 1.5537567000137642], [0.0, 1.5701605000067502], [0.0, 1.589029599999776], [0.0, 1.6083680000156164], [0.0, 1.6241137000033632], [0.0, 1.6394420000142418], [0.0, 1.6558251000242308], [0.0, 1.6723946999991313], [0.0, 1.6892041000246536], [0.0, 1.7085129000188317], [0.0, 1.724071600008756], [0.0, 1.7395941000140738], [0.0, 1.755935799999861], [0.0, 1.7735624000197276], [0.0, 1.7905702000134625], [0.0, 1.8068986000143923], [0.0, 1.8221807000227273], [0.0, 1.8408741000166629], [0.0, 1.8570704000012483], [0.0, 1.8748946000123397]]",6.01,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 8.198749900009716], [0.0, 8.207684500026517], [0.0, 8.222588400007226], [0.0, 8.239283200004138], [0.0, 8.2578301000176], [0.0, 8.27404430002207], [0.0, 8.292174900008831], [0.0, 8.311779600015143], [0.0, 8.327389300015057], [0.0, 8.343090100010158], [0.0, 8.359613100008573], [0.0, 8.375373900023988], [0.0, 8.393533100024797], [0.0, 8.409330200025579], [0.0, 8.42404000001261], [0.0, 8.440007100027287], [0.0, 8.458411600004183], [0.0, 8.476378500025021], [0.0, 8.492322600010084], [0.0, 8.509382500022184], [0.0, 8.526488900010008], [0.0, 8.54296570000588]]","[[140.0, 0.00011570000788196921], [140.0, 0.009418800007551908], [140.0, 0.023794799984898418], [140.0, 0.03977489998214878], [140.0, 0.05830740000237711], [140.0, 0.07512009999481961], [140.0, 0.09270789998117834], [140.0, 0.11095020000357181], [140.0, 0.12768059998052195], [140.0, 0.14325269998516887], [140.0, 0.1602370000036899], [140.0, 0.17591039999388158], [140.0, 0.19407709999359213], [140.0, 0.21016529999906197], [140.0, 0.22474149998743087], [140.0, 0.24118260000250302], [140.0, 0.2589567999821156], [140.0, 0.27672550000716], [140.0, 0.29267049999907613], [140.0, 0.3096415000036359], [140.0, 0.3268753000011202], [140.0, 0.343453799985582]]","[[-0.0, 0.00011570000788196921], [-0.0, 0.009418800007551908], [-0.0, 0.023794799984898418], [-0.0, 0.03977489998214878], [-0.0, 0.05830740000237711], [-0.0, 0.07512009999481961], [-0.0, 0.09270789998117834], [-0.0, 0.11095020000357181], [-0.0, 0.12768059998052195], [-0.0, 0.14325269998516887], [-0.0, 0.1602370000036899], [-0.0, 0.17591039999388158], [-0.0, 0.19407709999359213], [-0.0, 0.21016529999906197], [-0.0, 0.22474149998743087], [-0.0, 0.24118260000250302], [-0.0, 0.2589567999821156], [-0.0, 0.27672550000716], [-0.0, 0.29267049999907613], [-0.0, 0.3096415000036359], [-0.0, 0.3268753000011202], [-0.0, 0.343453799985582]]",S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-04-16_17h47.21.578,61.054347524057704,
./amsterdam_dynamic_facial_expression_set/F01-Disgust-Face Forward.mp4,arousal,left,HV-LA,inverse,0,0,3,3,3,"[[0.0, 0.013839799998095259], [0.0, 0.02733280000393279], [0.0, 0.04208199999993667], [0.0, 0.05929399997694418], [0.0, 0.08011969999643043], [0.0, 0.09851729997899383], [0.0, 0.11538719999953173], [0.0, 0.1258529000042472], [0.0, 0.1422883999766782], [0.0, 0.16136379999807104], [0.0, 0.18272099999012426], [0.0, 0.19869130000006407], [0.0, 0.21504799998365343], [0.0, 0.23219119998975657], [0.0, 0.2484104000031948], [0.0, 0.2629894999845419], [0.0, 0.28052060000482015], [0.0, 0.29810580000048503], [0.0, 0.3150605999981053], [0.0, 0.33163069997681305], [0.0, 0.34793570000329055], [0.0, 0.36259699999936856], [0.0, 0.3818221999972593], [0.0, 0.3979285999957938], [0.0, 0.41521300000022165], [0.0, 0.43274389998987317]]",6.01,,,,,,,,,,,,,,,,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-04-16_17h47.21.578,61.054347524057704,
