movie_path,Dimension,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,continuous_annotation,Valencia_value,Arousal_value,Preferencia_value,Engagement_value,Familiaridad_value,checkbox_Neutral,checkbox_Asco,checkbox_Felicidad,checkbox_Sorpresa,checkbox_Ira,checkbox_Miedo,checkbox_Tristeza,Subject_id,Age,Gender,Group,date,frame_rate,
green_screen,Luminancia,0,0,0,0,"[[0.0, 1.291895900038071], [0.0, 1.3076045999769121], [0.0, 1.3219784999964759], [0.0, 1.339672000030987], [0.0, 1.3580429999856278], [-0.014723009543337051, 1.37342700001318], [-0.022084514315005466, 1.3911297000013292], [-0.022084514315005466, 1.4078102000057697], [-0.02944601908667399, 1.4274787999456748], [-0.05153053340167957, 1.4408086999319494], [-0.10306106680335902, 1.4560128999873996], [-0.14723009543337007, 1.4722640999825671], [-0.19876062883504952, 1.488968199933879], [-0.2870986860950714, 1.5066098000388592], [-0.30918320041007696, 1.5225170999765396], [-0.3165447051817455, 1.5398164000362158], [-0.3239062099534139, 1.5557959999423474], [-0.3239062099534139, 1.5742304000305012], [-0.3239062099534139, 1.589181900024414], [-0.3239062099534139, 1.6048802000004798], [-0.33862921949675096, 1.6232937999302521], [-0.3607137338117564, 1.63976819999516], [-0.36807523858342495, 1.6548346999334171], [-0.36807523858342495, 1.6718745999969542], [-0.36807523858342495, 1.6882693000370637], [-0.36807523858342495, 1.7068904000334442], [-0.36807523858342495, 1.7204329000087455], [-0.36807523858342495, 1.7273565999930725], [-0.36807523858342495, 1.7415369999362156], [-0.36807523858342495, 1.7559547999408096], [-0.36807523858342495, 1.773224400007166], [-0.3607137338117564, 1.7886896999552846], [-0.3607137338117564, 1.8067713000345975], [-0.33862921949675096, 1.8245533999288455], [-0.191399124063381, 1.8414620999246836], [-0.07361504771668503, 1.8606040999293327], [0.07361504771668503, 1.8764864000258967], [-0.1251455811183645, 2.1741211999906227], [-0.500582324473458, 2.190716299926862], [-0.824488534426872, 2.2072907999390736], [-0.8760190678285514, 2.356595000019297], [-0.485859314930121, 2.3725955999689177], [-0.022084514315005466, 2.390887700021267], [-0.007361504771668526, 2.5496492999373004], [-0.0956995620316905, 2.5668973999563605], [-0.11778407634669597, 2.582870699930936], [-0.11042257157502755, 2.5989717999473214], [-0.08833805726002197, 2.6143266999861225], [0.05153053340167957, 2.6303098000353202], [-0.022084514315005466, 2.7833865999709815], [-0.2870986860950714, 2.8010118999518454], [-0.3165447051817455, 2.818469199934043], [-0.30918320041007696, 2.8345978999277577], [-0.2650141717800659, 2.850208399933763], [0.0956995620316905, 2.87000979995355], [-0.08097655248835356, 2.9832287000026554], [-0.500582324473458, 2.997968600015156], [-0.603643391276817, 3.0155256999423727], [-0.603643391276817, 3.032132099964656], [-0.515305334016795, 3.0490278999786824], [0.08833805726002208, 3.1828950999770314], [-0.05889203817334798, 3.201050900039263], [-0.05889203817334798, 3.2182034000288695], [0.04416902863001093, 3.23728779994417], [-0.14723009543337007, 3.3525124000152573], [-0.353352229040088, 3.366395100019872], [-0.37543674335509347, 3.3829284999519587], [-0.353352229040088, 3.401871499954723], [-0.13986859066170154, 3.4201138999778777], [0.0, 3.514354999992065], [-0.3607137338117564, 3.533693499979563], [-0.4490517910717785, 3.5504697000142187], [-0.4490517910717785, 3.5652501999866217], [-0.412244267213436, 3.581780800013803], [-0.05889203817334798, 3.6003149999305606]]",None,None,None,None,None,False,False,False,False,True,False,False,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-02-23_17h37.46.635,None,
./amsterdam_dynamic_facial_expression_set/F03-Fear-Face Forward.mp4,Arousal,0,1,1,1,"[[0.0, 2.7535957999061793], [0.0, 2.7669347999617457], [0.0, 2.785021899966523], [0.0, 2.801842699991539], [0.0, 2.816419899929315], [0.0, 2.8309151999419555], [-0.014723009543337051, 2.850389999919571], [-0.022084514315005466, 2.8643179999198765], [-0.05153053340167957, 2.8841130000073463], [-0.08833805726002197, 2.9000716999871656], [-0.14723009543337007, 2.9191465999465436], [-0.22820664792172352, 2.9356071999063715], [-0.30918320041007696, 2.954371099942364], [-0.3901597528984305, 2.967771099996753], [-0.4784978101584525, 2.9858817999484017], [-0.58892038173348, 3.001510399975814], [-0.7361504771668499, 3.0177421999396756], [-0.8318500391985405, 3.0310752999503165], [-0.8760190678285514, 3.049263699911535], [-0.9054650869152255, 3.065138699952513], [-0.9349111060018995, 3.085622899932787], [-0.9349111060018995, 3.100843599997461], [-0.9349111060018995, 3.116376299993135], [-0.9349111060018995, 3.131907599978149], [-0.9349111060018995, 3.15031729999464], [-0.9349111060018995, 3.1660077999113128], [-0.9349111060018995, 3.1827727999771014], [-0.9349111060018995, 3.1980204000137746], [-0.9349111060018995, 3.2193193999119103], [-0.9349111060018995, 3.2337200000183657], [-0.9349111060018995, 3.2493523999582976], [-0.9349111060018995, 3.264191999915056], [-0.9349111060018995, 3.280090900021605], [-0.927549601230231, 3.2950105000054464], [-0.9201880964585625, 3.3132605999708176], [-0.88338057260022, 3.330903199966997], [-0.8465730487418774, 3.3524321999866515], [-0.8171270296552035, 3.3675323999486864], [-0.7876810105685295, 3.3843963999534026], [-0.7582349914818556, 3.400379900005646], [-0.6846199437651705, 3.4201417999574915], [-0.6625354294501651, 3.434713499969803], [-0.5815588769618115, 3.4513694000197574], [-0.5668358674184745, 3.4640304999193177], [-0.5226668387884635, 3.4854403999634087], [-0.500582324473458, 3.4974247999489307], [-0.47113630538678397, 3.5174136999994516], [-0.4564132958434469, 3.5314692999236286], [-0.412244267213436, 3.5499494000105187], [-0.37543674335509347, 3.567797099938616], [-0.353352229040088, 3.5855693999910727], [-0.30918320041007696, 3.5977678999770433], [-0.2650141717800659, 3.6170612999703735], [-0.23556815269339204, 3.631618099985644], [-0.20612213360671805, 3.649755100021139], [-0.15459160020503848, 3.6649973000166938], [-0.0956995620316905, 3.6858511000173166], [-0.06625354294501651, 3.699993300018832], [-0.03680752385834252, 3.7179447999224067], [0.0, 3.731763699906878], [0.04416902863001093, 3.7493677999591455], [0.04416902863001093, 4.315240099909715], [0.029446019086674102, 4.329023299971595], [-0.03680752385834252, 4.349781799945049], [-0.11042257157502755, 4.364009800017811], [-0.17667611452004406, 4.383055799989961], [-0.2208451431500551, 4.396749299950898], [-0.22820664792172352, 4.417491899919696], [-0.22820664792172352, 4.429952799924649], [-0.22820664792172352, 4.448910499922931], [-0.22820664792172352, 4.464047199930064], [-0.22820664792172352, 4.481578900013119], [-0.22820664792172352, 4.497337899985723], [-0.22820664792172352, 4.5154996999772266], [-0.22820664792172352, 4.531292299972847], [-0.24292965746506057, 4.54922779998742], [-0.24292965746506057, 4.561355900019407], [-0.29446019086674, 4.576704400009476], [-0.3459907242684195, 4.5884367999387905], [-0.39752125767009894, 4.607247899984941], [-0.42696727675677304, 4.621373199974187], [-0.42696727675677304, 4.639231199980713], [-0.44169028630011, 4.654803899931721], [-0.44169028630011, 4.674046200001612], [-0.44169028630011, 4.690120099927299], [-0.4490517910717785, 4.708481899928302], [-0.4784978101584525, 4.723242099978961], [-0.5079438292451265, 4.741362900007516], [-0.5226668387884635, 4.757294800016098], [-0.5226668387884635, 4.77404209994711], [-0.5226668387884635, 4.788370699970983], [-0.5226668387884635, 4.808237899909727], [-0.5226668387884635, 4.823592099943198], [-0.5226668387884635, 4.841728699975647], [-0.5226668387884635, 4.855222299927846], [-0.5226668387884635, 4.876618399983272], [-0.5226668387884635, 4.890278599923477], [-0.5226668387884635, 4.906243599951267], [-0.5226668387884635, 4.922798899933696], [-0.5226668387884635, 4.941889900015667], [-0.5226668387884635, 4.958196499967016], [-0.515305334016795, 4.973862599930726], [-0.5079438292451265, 4.989201799966395], [-0.4564132958434469, 5.009106799960136], [-0.39752125767009894, 5.02213119994849], [-0.3165447051817455, 5.040828099939972], [-0.22820664792172352, 5.055576600017957], [-0.16931460974837553, 5.070612999959849], [-0.06625354294501651, 5.0916328999446705], [-0.007361504771668526, 5.109161200001836], [0.05153053340167957, 5.123240099987015], [0.08097655248835345, 5.557645999942906], [-0.08833805726002197, 5.572822400019504], [-0.19876062883504952, 5.591173099935986], [-0.2576526670083975, 5.60811879998073], [-0.3165447051817455, 5.622000699979253], [-0.353352229040088, 5.641269800020382], [-0.37543674335509347, 5.65477339993231], [-0.40488276244176746, 5.674442799994722], [-0.46377480061511556, 5.6881950999377295], [-0.5300283435601321, 5.707259399932809], [-0.5962818865051486, 5.723059999989346], [-0.6772584389935019, 5.742269699927419], [-0.7582349914818556, 5.758398399921134], [-0.8612960582852145, 5.78324379993137], [-0.8907420773718885, 5.795349899912253], [-0.898103582143557, 5.81141690001823], [-0.898103582143557, 5.825970400008373], [-0.898103582143557, 5.843116099946201], [-0.898103582143557, 5.857175100012682], [-0.898103582143557, 5.8775182999670506], [-0.8907420773718885, 5.89331219997257], [-0.8760190678285514, 5.90689849993214], [-0.8171270296552035, 5.923758400022052], [-0.6846199437651705, 5.943663600017317], [-0.515305334016795, 5.956682699965313], [-0.33862921949675096, 5.974304499919526], [-0.161953104976707, 5.990889300010167], [-0.02944601908667399, 6.00979559996631], [0.08833805726002208, 6.023027600022033], [0.0956995620316905, 6.5076813999330625], [-0.11042257157502755, 6.523834699997678], [-0.29446019086674, 6.54558009991888], [-0.412244267213436, 6.5589263999136165], [-0.49322081970178944, 6.575272999936715], [-0.5373898483318005, 6.589909099973738], [-0.5521128578751375, 6.608743899967521], [-0.5521128578751375, 6.622763899969868], [-0.5594743626468061, 6.64586639998015], [-0.5594743626468061, 6.6597189999883994], [-0.5594743626468061, 6.677675899933092], [-0.5594743626468061, 6.692951999953948], [-0.5594743626468061, 6.709724699961953], [-0.5594743626468061, 6.725068199913949], [-0.5594743626468061, 6.743335900013335], [-0.5668358674184745, 6.757023599930108], [-0.5668358674184745, 6.7774925999110565], [-0.5373898483318005, 6.793393599917181], [-0.42696727675677304, 6.809078100020997], [-0.2870986860950714, 6.8247774000046775], [-0.14723009543337007, 6.842883599922061], [0.014723009543337051, 6.856428499915637], [-0.007361504771668526, 7.116442899918184], [-0.191399124063381, 7.132984799914993]]",None,None,None,None,-0.1,False,False,False,False,True,False,False,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-02-23_17h37.46.635,None,
./amsterdam_dynamic_facial_expression_set/M02-Surprise-Face Forward.mp4,Valencia,0,2,2,2,[],None,None,None,None,None,False,False,False,False,False,False,False,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-02-23_17h37.46.635,None,
