movie_path,emotion,stim_gender,correct_response,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,Valencia_value,Arousal_value,Preferencia_value,Engagement_value,Familiaridad_value,checkbox_Neutral,checkbox_Disgust,checkbox_Happiness,checkbox_Surprise,checkbox_Anger,checkbox_Fear,checkbox_Sadness,checkbox_Other,Subject_id,Age,Gender,Group,date,frame_rate,
./amsterdam_dynamic_facial_expression_set/M02-Surprise-Face Forward.mp4,Suprise,male,6.0,0,0,0,1,None,None,None,-0.9,0.8,True,False,True,False,False,False,True,False,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-01-31_09h11.57.651,59.920569302367355,
green_screen,None,None,None,0,1,1,2,None,None,None,None,None,False,False,False,False,False,False,False,False,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-01-31_09h11.57.651,59.920569302367355,
