movie_path,dimension,hand,stimulus_type,order_emojis_slider, block,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,continuous_annotation,video_duration,valence_value,arousal_value,preference_value,engagement_value,familiarity_value,checkbox_Neutral,checkbox_Asco,checkbox_Felicidad,checkbox_Sorpresa,checkbox_Ira,checkbox_Miedo,checkbox_Tristeza,continuous_annotation_luminance,stim_value_green,stim_value,Subject_id,Age,Gender,Group,date,frame_rate,
./amsterdam_dynamic_facial_expression_set/F01-Disgust-Face Forward.mp4,valence,right,HV-LA,direct,0,0,0,0,0,"[[0.0, 0.011873800016473979], [0.0, 0.026509500021347776], [0.0, 0.043756900005973876], [0.0, 0.059559600020293146], [0.0, 0.07633630000054836], [0.0, 0.09499979999964125], [0.0, 0.11318939999910071], [0.0, 0.12945730000501499], [0.0, 0.14515510000637732], [0.0, 0.16097600001376122], [0.0, 0.1791129000193905], [0.0, 0.1938298000022769], [0.0, 0.2082556000095792], [0.0, 0.22354860001360066], [0.0, 0.24162559999967925], [0.0, 0.2601213000016287], [0.0, 0.27843140001641586], [0.0, 0.29408070002682507], [0.0, 0.3112268000259064], [0.0, 0.3281454000098165], [0.0, 0.34420520000276156], [0.0, 0.3617452000034973], [0.0, 0.3775636000209488], [0.0, 0.3945735000015702], [0.0, 0.4115046000224538], [0.0, 0.4275824000069406], [0.0, 0.4454109000216704], [0.0, 0.4615415000007488], [0.0, 0.4800546000187751], [0.0, 0.49595950002549216], [0.0, 0.5114875000144821], [0.0, 0.5283832999994047], [0.0, 0.5439391000254545], [0.0, 0.5605110000178684], [0.0, 0.5782324000028893], [0.0, 0.5946285000245553], [0.0, 0.613389800011646], [0.0, 0.6289659000176471], [0.0, 0.6456318000273313], [0.0, 0.6611206000088714], [0.0, 0.6793662999989465], [0.0, 0.6954447000171058], [0.0, 0.7123664000246208], [0.0, 0.7263810000149533], [0.0, 0.7455849000252783], [0.0, 0.7605342000024393], [0.0, 0.7786144000128843], [0.0, 0.7942537000053562], [0.0, 0.8123872000142001], [0.0, 0.8282700999989174], [0.0, 0.8463183999992907], [0.0, 0.8588701000262517], [0.0, 0.8752948000037577], [0.0, 0.8938721000158694], [0.0, 0.9119650000066031], [0.0, 0.9268347000179347], [0.0, 0.94176780001726], [0.0, 0.9565678000217304], [0.0, 0.973280700010946], [0.0, 0.9801766000164207], [0.0, 0.992063900019275], [0.0, 1.0068866000219714], [0.0, 1.0238592000096105], [0.0, 1.040420900011668], [0.0, 1.0575181000167504], [0.0, 1.0739072000142187], [0.0, 1.0900867000163998], [0.0, 1.1067852000123821], [0.0, 1.1130957000132184], [0.0, 1.1251430000120308], [0.0, 1.1401857000018936], [0.0, 1.1463740000035614], [0.0, 1.1593456000264268], [0.0, 1.176850200019544], [0.0, 1.1933751000033226], [0.0, 1.2103935000195634], [0.0, 1.2265239000262227], [0.0, 1.2438458000251558], [0.0, 1.2609977000101935], [0.0, 1.2782091000117362], [0.0, 1.2944649000128265], [0.0, 1.3126235000090674], [0.0, 1.3276115000189748], [0.0, 1.34476970002288], [0.0, 1.3613125000265427], [0.0, 1.3784778000263032], [0.0, 1.3950418000167701], [0.0, 1.4117614999995567], [0.0, 1.4270963000017218], [0.0, 1.4450599000265356], [0.0, 1.460112000000663], [0.0, 1.4798718000238296], [0.0, 1.4968724000209477], [0.0, 1.5127166000020225], [0.0, 1.527400300023146], [0.0, 1.5452532000199426], [0.0, 1.561951500014402], [0.0, 1.5807937000063248], [0.0, 1.5958229000098072], [0.0, 1.6142901000275742], [0.0, 1.630159200023627], [0.0, 1.6459699000115506], [0.0, 1.6624396000115667], [0.0, 1.6780382000142708], [0.0, 1.6940701000276022], [0.0, 1.709749000001466], [0.0, 1.7259346000209916], [0.0, 1.7430440000025555], [0.0, 1.7590269000211265], [0.0, 1.7765009000140708], [0.0, 1.7927958000218496], [0.0, 1.8073086000222247], [0.0, 1.8234920000249986], [0.0, 1.8403094000241254], [0.0, 1.858890400006203], [0.0, 1.8744638000207487], [0.0, 1.89271130002453], [0.0, 1.9108739000221249], [0.0, 1.9273872000048868], [0.0, 1.9444516000221483], [0.0, 1.9611624000244774], [0.0, 1.9789718000101857], [0.0, 1.995163700019475], [0.0, 2.0142284000176005], [0.0, 2.0296832000021823], [0.0, 2.0458533000200987], [0.0, 2.062507499998901], [0.0, 2.0765107000188436], [0.0, 2.0929385000199545], [0.0, 2.111260100005893], [0.0, 2.128471300005913], [0.0, 2.146403900027508], [0.0, 2.1628086999990046], [0.0, 2.178443100012373], [0.0, 2.1952882000186946], [0.0, 2.2133593000180554], [0.0, 2.229724400007399], [0.0, 2.244620000012219], [0.0, 2.2598029000218958], [0.0, 2.276908200001344], [0.0, 2.2957636000064667], [0.0, 2.313589500001399], [0.0, 2.3288263000140432], [0.0, 2.346175200014841], [0.0, 2.363329200015869], [0.0, 2.380707300006179], [0.0, 2.3963346000236925], [0.0, 2.410242300014943], [0.0, 2.4258932000084314], [0.0, 2.442008400015766], [0.0, 2.4573325000237674], [0.0, 2.4742434000072535], [0.0, 2.4906142000108957], [0.0, 2.5066303000203334], [0.0, 2.5134740000066813], [0.0, 2.5256751000124495], [0.0, 2.541558500000974], [0.0, 2.560199100000318], [0.0, 2.5790338000224438], [0.0, 2.5944513000140432], [0.0, 2.6134855000127573], [0.0, 2.62922350000008], [0.0, 2.6461625000229105], [0.0, 2.6610060000093654], [0.0, 2.67894530002377], [0.0, 2.6938271000108216], [0.0, 2.710951200017007], [0.0, 2.7286077000026125], [0.0, 2.7468424000253435], [0.0, 2.7622280000068713], [0.0, 2.7775187000224832], [0.0, 2.7924079000076745], [0.0, 2.809476500027813], [0.0, 2.824617300007958], [0.0, 2.8408154000062495], [0.0, 2.8577474000048824]]",6.01,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 10.345709400018677], [0.0, 10.35369480002555], [0.0, 10.367842500010738], [0.0, 10.382331900007557], [0.0, 10.38877119999961], [0.0, 10.401907300023595], [0.0, 10.41930800001137], [0.0, 10.438469000015175], [0.0, 10.454246100009186], [0.0, 10.473501500004204], [0.0, 10.4859359000111], [0.0, 10.502364200016018], [0.0, 10.518940600013593], [0.0, 10.537823999999091], [0.0, 10.555534800019814], [0.0, 10.571425500005716], [0.0, 10.587156000023242], [0.0, 10.603540800017072], [0.0, 10.62119520001579], [0.0, 10.636975600005826], [0.0, 10.652786600025138], [0.0, 10.670711000013398], [0.0, 10.686929600022268], [0.0, 10.704618300020229]]","[[140.0, 0.00011799999629147351], [140.0, 0.00800950001575984], [140.0, 0.022390500002074987], [140.0, 0.03679559999727644], [140.0, 0.043288700020639226], [140.0, 0.055986099992878735], [140.0, 0.07289179999497719], [140.0, 0.09264819999225438], [140.0, 0.1081488000054378], [140.0, 0.12673150000046007], [140.0, 0.14000730001134798], [140.0, 0.1566766000178177], [140.0, 0.173152300005313], [140.0, 0.19157300001825206], [140.0, 0.20948740001767874], [140.0, 0.2250701000157278], [140.0, 0.2410985000024084], [140.0, 0.25732289999723434], [140.0, 0.2748940000019502], [140.0, 0.2910083000024315], [140.0, 0.3068288000067696], [140.0, 0.3248195000051055], [140.0, 0.3409045000153128], [140.0, 0.35763840001891367]]","[[0.0, 0.00011799999629147351], [0.0, 0.00800950001575984], [0.0, 0.022390500002074987], [0.0, 0.03679559999727644], [0.0, 0.043288700020639226], [0.0, 0.055986099992878735], [0.0, 0.07289179999497719], [0.0, 0.09264819999225438], [0.0, 0.1081488000054378], [0.0, 0.12673150000046007], [0.0, 0.14000730001134798], [0.0, 0.1566766000178177], [0.0, 0.173152300005313], [0.0, 0.19157300001825206], [0.0, 0.20948740001767874], [0.0, 0.2250701000157278], [0.0, 0.2410985000024084], [0.0, 0.25732289999723434], [0.0, 0.2748940000019502], [0.0, 0.2910083000024315], [0.0, 0.3068288000067696], [0.0, 0.3248195000051055], [0.0, 0.3409045000153128], [0.0, 0.35763840001891367]]",S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-04-16_18h05.29.219,None,
./amsterdam_dynamic_facial_expression_set/F01-Fear-Face Forward.mp4,arousal,right,LV-HA,direct,0,0,1,1,1,"[[0.0, 0.010113800002727658], [0.0, 0.023260400019353256], [0.0, 0.042174800008069724], [0.0, 0.059081300016259775], [0.0, 0.0770339000155218], [0.0, 0.09351189999142662], [0.0, 0.10806470000534318], [0.0, 0.12768239999422804], [0.0, 0.1439177000138443], [0.0, 0.16103230000589974], [0.0, 0.17736150001292117], [0.0, 0.1941176000109408], [0.0, 0.20794150000438094], [0.0, 0.22767059999750927], [0.0, 0.24029210000298917], [0.0, 0.2566701000032481], [0.0, 0.27214610000373796], [0.0, 0.29067650000797585], [0.0, 0.31138900000951253], [0.0, 0.32712470000842586], [0.0, 0.34340499999234453]]",6.01,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 6.2037782999977935], [0.0, 6.216261099994881], [0.0, 6.230345499992836], [0.0, 6.250142200005939], [0.0, 6.266020800016122], [0.0, 6.284951800014824], [0.0, 6.302314700005809], [0.0, 6.319088100019144], [0.0, 6.337095199996838], [0.0, 6.345945600012783], [0.0, 6.359980700013693], [0.0, 6.377524200011976], [0.0, 6.392921599996043], [0.0, 6.408040400012396], [0.0, 6.428128300001845], [0.0, 6.4453535999928135], [0.0, 6.4591885000118054], [0.0, 6.477922799997032]]","[[140.0, 0.00013719999697059393], [140.0, 0.011953000008361414], [140.0, 0.026622600009432063], [140.0, 0.04556709999451414], [140.0, 0.061952600022777915], [140.0, 0.08025369999813847], [140.0, 0.09819140000035986], [140.0, 0.11449249999714084], [140.0, 0.13266679999651387], [140.0, 0.14153170000645332], [140.0, 0.15537809999659657], [140.0, 0.17252670001471415], [140.0, 0.18876459999592043], [140.0, 0.2041756999969948], [140.0, 0.22278840001672506], [140.0, 0.24063840002054349], [140.0, 0.2547973000037018], [140.0, 0.27294029999757186]]","[[0.0, 0.00013719999697059393], [0.0, 0.011953000008361414], [0.0, 0.026622600009432063], [0.0, 0.04556709999451414], [0.0, 0.061952600022777915], [0.0, 0.08025369999813847], [0.0, 0.09819140000035986], [0.0, 0.11449249999714084], [0.0, 0.13266679999651387], [0.0, 0.14153170000645332], [0.0, 0.15537809999659657], [0.0, 0.17252670001471415], [0.0, 0.18876459999592043], [0.0, 0.2041756999969948], [0.0, 0.22278840001672506], [0.0, 0.24063840002054349], [0.0, 0.2547973000037018], [0.0, 0.27294029999757186]]",S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-04-16_18h05.29.219,None,
./amsterdam_dynamic_facial_expression_set/F01-Joy-Face Forward.mp4,arousal,right,LV-LA,inverse,0,0,2,2,2,"[[0.0, 0.011533999990206212]]",6.01,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 6.937793899996905], [0.0, 6.943273200013209], [0.0, 6.9580291000020225], [0.0, 6.97370360000059], [0.0, 6.993144700012635], [0.0, 7.013837500009686], [0.0, 7.026748900010716], [0.0, 7.043930599989835], [0.0, 7.060607399995206], [0.0, 7.0772282000107225], [0.0, 7.094988700002432], [0.0, 7.111345800018171], [0.0, 7.129059400002006], [0.0, 7.148357600002782], [0.0, 7.169740100012859], [0.0, 7.186074700002791], [0.0, 7.199361400009366], [0.0, 7.213905500015244], [0.0, 7.2199635000142734], [0.0, 7.233003300003475], [0.0, 7.247349999990547], [0.0, 7.2533194000134245], [0.0, 7.265510199998971], [0.0, 7.280853100004606], [0.0, 7.286755400011316], [0.0, 7.300617900007637], [0.0, 7.317420400009723]]","[[140.0, 0.00010919998749159276], [140.0, 0.005842199985636398], [140.0, 0.01986059997580014], [140.0, 0.03562409998266958], [140.0, 0.05397219999576919], [140.0, 0.0744066999759525], [140.0, 0.08867279998958111], [140.0, 0.105394799989881], [140.0, 0.12231979999342002], [140.0, 0.13824419997399673], [140.0, 0.15607519997865893], [140.0, 0.1725140999769792], [140.0, 0.19034729999839328], [140.0, 0.20921849997830577], [140.0, 0.23051619998295791], [140.0, 0.24768369999947026], [140.0, 0.2616871999925934], [140.0, 0.27625029999762774], [140.0, 0.2824881999986246], [140.0, 0.29536910000024363], [140.0, 0.3098127999983262], [140.0, 0.31591669999761507], [140.0, 0.32792260000132956], [140.0, 0.34305589998257346], [140.0, 0.34933430000091903], [140.0, 0.3630284999962896], [140.0, 0.37940700000035577]]","[[-0.0, 0.00010919998749159276], [-0.0, 0.005842199985636398], [-0.0, 0.01986059997580014], [-0.0, 0.03562409998266958], [-0.0, 0.05397219999576919], [-0.0, 0.0744066999759525], [-0.0, 0.08867279998958111], [-0.0, 0.105394799989881], [-0.0, 0.12231979999342002], [-0.0, 0.13824419997399673], [-0.0, 0.15607519997865893], [-0.0, 0.1725140999769792], [-0.0, 0.19034729999839328], [-0.0, 0.20921849997830577], [-0.0, 0.23051619998295791], [-0.0, 0.24768369999947026], [-0.0, 0.2616871999925934], [-0.0, 0.27625029999762774], [-0.0, 0.2824881999986246], [-0.0, 0.29536910000024363], [-0.0, 0.3098127999983262], [-0.0, 0.31591669999761507], [-0.0, 0.32792260000132956], [-0.0, 0.34305589998257346], [-0.0, 0.34933430000091903], [-0.0, 0.3630284999962896], [-0.0, 0.37940700000035577]]",S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-04-16_18h05.29.219,None,
./amsterdam_dynamic_facial_expression_set/F01-Disgust-Face Forward.mp4,arousal,left,HV-LA,inverse,0,0,3,3,3,"[[0.0, 0.014305599994258955], [0.0, 0.02938739999081008], [0.0, 0.04699070000788197], [0.0, 0.06472520000534132], [0.0, 0.08068000001367182], [0.0, 0.09624650000478141], [0.0, 0.11349369998788461], [0.0, 0.1299719999951776]]",6.01,,,,,,,,,,,,,,,,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-04-16_18h05.29.219,None,
