movie_path,emotion,stim_gender,correct_response,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,Valencia_value,Arousal_value,Preferencia_value,Engagement_value,Familiaridad_value,checkbox_Neutral,checkbox_Disgust,checkbox_Happiness,checkbox_Surprise,checkbox_Anger,checkbox_Fear,checkbox_Sadness,checkbox_Other,Subject_id,Age,Gender,Group,date,frame_rate,
./amsterdam_dynamic_facial_expression_set/M02-Surprise-Face Forward.mp4,Suprise,male,6.0,0,0,0,1,,,,,-0.6,0.5,-0.7,0.9,-0.3,True,False,False,True,True,True,True,True,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-01-30_19h05.19.996,60.41485676051309,
green_screen,None,None,None,0,1,1,2,,,,,None,None,None,None,None,False,False,False,False,False,False,False,False,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-01-30_19h05.19.996,60.41485676051309,
./amsterdam_dynamic_facial_expression_set/F03-Fear-Face Forward.mp4,Fear,female,2.0,0,2,2,0,,,,,-1.0,1.0,0.6,-0.4,0.4,True,True,True,True,True,True,False,True,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-01-30_19h05.19.996,60.41485676051309,
