movie_path,emotion,stim_gender,correct_response,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,continuous_annotation,emotion_key,emotion_rt,response,Subject_id,Age,Gender,Group,date,frame_rate,
./amsterdam_dynamic_facial_expression_set/M02-Surprise-Face Forward.mp4,Suprise,male,6.0,0,0,0,1,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0073615047716684145, 0.0073615047716684145, 0.0, -0.007361504771668526, -0.014723009543337051, -0.02944601908667399, -0.03680752385834252, -0.04416902863001104, -0.07361504771668503, -0.08097655248835356, -0.08833805726002197, -0.0956995620316905, -0.11042257157502755, -0.11042257157502755, -0.1251455811183645, -0.13250708589003302, -0.14723009543337007, -0.16931460974837553, -0.17667611452004406, -0.17667611452004406, -0.17667611452004406, -0.17667611452004406, -0.17667611452004406, -0.191399124063381, -0.19876062883504952, -0.21348363837838658, -0.2208451431500551, -0.23556815269339204, -0.24292965746506057, -0.2576526670083975, -0.2576526670083975, -0.2576526670083975, -0.2576526670083975, -0.2576526670083975, -0.2576526670083975, -0.2576526670083975, -0.2576526670083975, -0.25029116223672887, -0.23556815269339204, -0.23556815269339204, -0.21348363837838658, -0.13986859066170154, -0.06625354294501651, -0.022084514315005466, 0.029446019086674102, 0.04416902863001093, 0.05889203817334798, 0.05889203817334798, 0.07361504771668503, 0.07361504771668503, 0.08097655248835345, 0.0956995620316905, 0.10306106680335891, 0.1251455811183646, 0.1251455811183646, 0.14723009543337007, 0.16195310497670712, 0.18403761929171258, 0.19876062883504964, 0.2208451431500551, 0.23556815269339215, 0.250291162236729, 0.2576526670083976, 0.26501417178006603, 0.2797371813234031, 0.3165447051817456, 0.3533522290400881, 0.3827982481267622, 0.40488276244176746, 0.4122442672134361, 0.43432878152844157, 0.43432878152844157, 0.45641329584344703, 0.45641329584344703, 0.45641329584344703, 0.45641329584344703, 0.45641329584344703, 0.46377480061511567, 0.45641329584344703, 0.44169028630011, 0.39752125767009905, 0.3165447051817456, 0.19876062883504964, 0.08833805726002208, 0.03680752385834252, -0.007361504771668526, -0.05889203817334798, -0.1251455811183645, -0.191399124063381, -0.2576526670083975, -0.30182169563840844, -0.3607137338117564, -0.382798248126762, -0.412244267213436, -0.43432878152844145, -0.4564132958434469, -0.4784978101584525, -0.500582324473458, -0.5079438292451265, -0.5300283435601321, -0.5668358674184745, -0.574197372190143, -0.5962818865051486, -0.603643391276817, -0.618366400820154, -0.618366400820154, -0.618366400820154, -0.618366400820154, -0.618366400820154, -0.618366400820154, -0.618366400820154, -0.618366400820154, -0.618366400820154, -0.618366400820154, -0.574197372190143, -0.5079438292451265, -0.4490517910717785, -0.412244267213436, -0.39752125767009894, -0.3901597528984305, -0.3607137338117564, -0.30182169563840844, -0.21348363837838658, -0.11042257157502755, -0.03680752385834252, 0.022084514315005466, 0.06625354294501662, 0.10306106680335891, 0.16931460974837553, 0.17667611452004395, 0.17667611452004395, 0.17667611452004395, 0.17667611452004395, 0.18403761929171258, 0.19876062883504964, 0.22820664792172352, 0.2797371813234031, 0.3091832004100772, 0.3533522290400881, 0.39752125767009905, 0.43432878152844157, 0.43432878152844157, 0.43432878152844157, 0.43432878152844157, 0.43432878152844157, 0.43432878152844157, 0.43432878152844157, 0.4122442672134361, 0.36071373381175653, 0.23556815269339215, 0.0956995620316905, -0.15459160020503848, -0.2208451431500551, -0.3165447051817455, -0.3607137338117564, -0.382798248126762, -0.382798248126762, -0.382798248126762, -0.382798248126762, -0.382798248126762, -0.382798248126762, -0.382798248126762, -0.382798248126762, -0.382798248126762, -0.382798248126762, -0.382798248126762, -0.382798248126762, -0.382798248126762, -0.382798248126762, -0.382798248126762, -0.37543674335509347, -0.33126771472508254, -0.29446019086674, -0.2576526670083975, -0.23556815269339204, -0.191399124063381, -0.13250708589003302, -0.08833805726002197, -0.07361504771668503, -0.022084514315005466, -0.014723009543337051, -0.014723009543337051, -0.014723009543337051, -0.014723009543337051, -0.014723009543337051, 0.022084514315005466, 0.029446019086674102, 0.029446019086674102, 0.03680752385834252, 0.06625354294501662, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.07361504771668503, 0.06625354294501662, 0.03680752385834252, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.029446019086674102, 0.03680752385834252, 0.03680752385834252, 0.05153053340167957, 0.06625354294501662, 0.08833805726002208, 0.13986859066170143]",1,1.2292872000252828,incorrect,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-01-26_18h07.32.532,60.894998140909046,
./amsterdam_dynamic_facial_expression_set/F03-Fear-Face Forward.mp4,Fear,female,2.0,0,1,1,0,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.007361504771668526, -0.022084514315005466, -0.11042257157502755, -0.15459160020503848, -0.353352229040088, -0.43432878152844145, -0.47113630538678397, -0.500582324473458, -0.5079438292451265, -0.515305334016795, -0.515305334016795, -0.515305334016795, -0.515305334016795, -0.515305334016795, -0.5226668387884635, -0.5300283435601321, -0.5300283435601321, -0.5300283435601321, -0.5300283435601321, -0.5300283435601321, -0.5300283435601321, -0.5373898483318005, -0.544751353103469, -0.5521128578751375, -0.5521128578751375, -0.5521128578751375, -0.574197372190143, -0.5815588769618115, -0.6110048960484855, -0.6257279055918226, -0.6404509151351594, -0.647812419906828, -0.647812419906828, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964, -0.6551739246784964]",1,0.950003799982369,incorrect,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-01-26_18h07.32.532,60.894998140909046,
green_screen,None,None,None,0,2,2,2,,,,,[],1,43.37615570001071,incorrect,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-01-26_18h07.32.532,60.894998140909046,
