movie_path,dimension,hand,stimulus_type,order_emojis_slider, block,block,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,continuous_annotation,video_duration,valence_value,arousal_value,preference_value,engagement_value,familiarity_value,checkbox_Neutral,checkbox_Asco,checkbox_Felicidad,checkbox_Sorpresa,checkbox_Ira,checkbox_Miedo,checkbox_Tristeza,continuous_annotation_luminance,stim_value_green,stim_value,Subject_id,Age,Gender,Group,date,frame_rate,
./amsterdam_dynamic_facial_expression_set/F01-Disgust-Face Forward.mp4,valence,right,HV-LA,direct,0,,0,0,0,0,,,,,"[[0.0, 0.015118899988010526], [0.0, 0.029263800010085106], [0.0, 0.046001399983651936], [0.0, 0.06389409999246709], [0.0, 0.0826142999867443], [0.0, 0.10607819998404011], [0.0, 0.1341377999924589], [0.0, 0.15307410000241362], [0.0, 0.16914600000018254], [0.0, 0.1855916999920737], [0.0, 0.20171570000820793], [0.0, 0.20813459999044426], [0.0, 0.221585999999661], [0.0, 0.23679749999428168], [0.0, 0.2515529000083916]]",6.01,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 8.117398100002902], [0.0, 8.123026699991897], [0.0, 8.137363299989374], [0.0, 8.152799600007711], [0.0, 8.171815100009553], [0.0, 8.189535999990767], [0.0, 8.206124499993166], [0.0, 8.224876599997515], [0.0, 8.241177899995819], [0.0, 8.25611299998127], [0.0, 8.271697399992263], [0.0, 8.288326899986714], [0.0, 8.304716799990274], [0.0, 8.322100499994121], [0.0, 8.33886899999925], [0.0, 8.360363499989035], [0.0, 8.371030000009341], [0.0, 8.385554799984675], [0.0, 8.392092399997637]]","[[140.0, 0.0001162000116892159], [140.0, 0.005845300009241328], [140.0, 0.020144800015259534], [140.0, 0.035340100002940744], [140.0, 0.053338400000939146], [140.0, 0.07112690000212751], [140.0, 0.087849700008519], [140.0, 0.10650039999745786], [140.0, 0.12299040000652894], [140.0, 0.1384453999926336], [140.0, 0.15385579998837784], [140.0, 0.1700614000146743], [140.0, 0.1866370000061579], [140.0, 0.20389979999163188], [140.0, 0.22081500000786036], [140.0, 0.24163150001550093], [140.0, 0.25383050000527874], [140.0, 0.268431700009387], [140.0, 0.2749234999937471]]","[[0.0, 0.0001162000116892159], [0.0, 0.005845300009241328], [0.0, 0.020144800015259534], [0.0, 0.035340100002940744], [0.0, 0.053338400000939146], [0.0, 0.07112690000212751], [0.0, 0.087849700008519], [0.0, 0.10650039999745786], [0.0, 0.12299040000652894], [0.0, 0.1384453999926336], [0.0, 0.15385579998837784], [0.0, 0.1700614000146743], [0.0, 0.1866370000061579], [0.0, 0.20389979999163188], [0.0, 0.22081500000786036], [0.0, 0.24163150001550093], [0.0, 0.25383050000527874], [0.0, 0.268431700009387], [0.0, 0.2749234999937471]]",S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-04-16_17h49.23.439,None,
./amsterdam_dynamic_facial_expression_set/F01-Fear-Face Forward.mp4,arousal,right,LV-HA,direct,0,,0,1,1,1,,,,,"[[0.0, 0.010783699981402606]]",6.01,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 5.980449900001986], [0.0, 5.992306399974041], [0.0, 6.0063838999776635], [0.0, 6.0123185999982525], [0.0, 6.024797399993986], [0.0, 6.0410853999783285], [0.0, 6.058626599988202], [0.0, 6.076339299994288], [0.0, 6.098179399996297], [0.0, 6.119034899980761], [0.0, 6.136174899991602], [0.0, 6.15290929999901], [0.0, 6.168924799974775], [0.0, 6.1852817999897525], [0.0, 6.201934599986998], [0.0, 6.219226499990327], [0.0, 6.235643499996513], [0.0, 6.251827899977798], [0.0, 6.267414499976439], [0.0, 6.28655219997745], [0.0, 6.3017524999741], [0.0, 6.318332199996803], [0.0, 6.333490599994548], [0.0, 6.348135499982163], [0.0, 6.354451399995014], [0.0, 6.366540199989686], [0.0, 6.3816284999775235], [0.0, 6.397876000002725]]","[[140.0, 0.00013460000627674162], [140.0, 0.011791800003265962], [140.0, 0.02603350000572391], [140.0, 0.032124999997904524], [140.0, 0.04442999997991137], [140.0, 0.060156999999890104], [140.0, 0.07742319998214953], [140.0, 0.0955668999813497], [140.0, 0.11644089999026619], [140.0, 0.13800000000628643], [140.0, 0.15519200000562705], [140.0, 0.17188749997876585], [140.0, 0.18803699998534285], [140.0, 0.2050087999959942], [140.0, 0.22146669999347068], [140.0, 0.23865489999298006], [140.0, 0.254761399992276], [140.0, 0.27108039997983724], [140.0, 0.28705620000255294], [140.0, 0.3054864000005182], [140.0, 0.32099929999094456], [140.0, 0.3378632999956608], [140.0, 0.3527141999802552], [140.0, 0.36795539999729954], [140.0, 0.3743219999887515], [140.0, 0.386304099985864], [140.0, 0.401453099999344], [140.0, 0.41765019999002106]]","[[0.0, 0.00013460000627674162], [0.0, 0.011791800003265962], [0.0, 0.02603350000572391], [0.0, 0.032124999997904524], [0.0, 0.04442999997991137], [0.0, 0.060156999999890104], [0.0, 0.07742319998214953], [0.0, 0.0955668999813497], [0.0, 0.11644089999026619], [0.0, 0.13800000000628643], [0.0, 0.15519200000562705], [0.0, 0.17188749997876585], [0.0, 0.18803699998534285], [0.0, 0.2050087999959942], [0.0, 0.22146669999347068], [0.0, 0.23865489999298006], [0.0, 0.254761399992276], [0.0, 0.27108039997983724], [0.0, 0.28705620000255294], [0.0, 0.3054864000005182], [0.0, 0.32099929999094456], [0.0, 0.3378632999956608], [0.0, 0.3527141999802552], [0.0, 0.36795539999729954], [0.0, 0.3743219999887515], [0.0, 0.386304099985864], [0.0, 0.401453099999344], [0.0, 0.41765019999002106]]",S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-04-16_17h49.23.439,None,
./amsterdam_dynamic_facial_expression_set/F01-Joy-Face Forward.mp4,arousal,right,LV-LA,inverse,0,,0,2,2,2,,,,,"[[0.0, 0.007736600004136562], [0.0, 0.024879800010239705], [0.0, 0.03739579999819398], [0.0, 0.054951800004346296], [0.0, 0.07185790000949055], [0.0, 0.08932150001055561], [0.0, 0.1048204000107944], [0.0, 0.12257470001350157], [0.0, 0.13916489999974146], [0.0, 0.15624169999500737], [0.0, 0.17206489999080077], [0.0, 0.18922900001052767], [0.0, 0.20505260000936687], [0.0, 0.22257410001475364], [0.0, 0.24012669999501668], [0.0, 0.25447559999884106], [0.0, 0.27188019998720847], [0.0, 0.2889863000018522], [0.0, 0.30578809999860823], [0.0, 0.3230303000018466], [0.0, 0.3384465000126511], [0.0, 0.356544300011592], [0.0, 0.3734266000101343], [0.0, 0.388867300003767], [0.0, 0.40487800000119023], [0.0, 0.4242614000104368], [0.0, 0.4394400999881327], [0.0, 0.45572810000157915], [0.0, 0.4722986000124365], [0.0, 0.4882715000130702], [0.0, 0.5047484000097029], [0.0, 0.5218751000065822], [0.0, 0.5386431000079028], [0.0, 0.5568585000000894], [0.0, 0.572975499992026], [0.0, 0.5894576999999117], [0.0, 0.6049124000128359]]",6.01,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 6.910699800006114], [0.0, 6.915740199998254], [0.0, 6.930181900010211], [0.0, 6.947391199995764], [0.0, 6.965689200005727], [0.0, 6.982748400012497], [0.0, 7.0004509999998845], [0.0, 7.017894599994179], [0.0, 7.0339930999907665], [0.0, 7.051018199999817], [0.0, 7.067262099997606], [0.0, 7.084048399992753], [0.0, 7.097616299986839], [0.0, 7.113745899987407], [0.0, 7.129936499986798], [0.0, 7.146815299987793], [0.0, 7.164629600010812], [0.0, 7.182350999995833], [0.0, 7.202493399992818], [0.0, 7.218651500006672], [0.0, 7.232816200004891], [0.0, 7.246434600005159], [0.0, 7.26078929999494], [0.0, 7.267047700006515], [0.0, 7.279603500006488], [0.0, 7.294344699999783], [0.0, 7.300873800006229], [0.0, 7.313854700012598], [0.0, 7.329482800007099], [0.0, 7.344667099998333], [0.0, 7.362885600014124], [0.0, 7.381511699990369], [0.0, 7.401882400008617], [0.0, 7.417852399987169], [0.0, 7.432585900009144], [0.0, 7.4523926000110805]]","[[140.0, 0.00010980002116411924], [140.0, 0.005269700021017343], [140.0, 0.019689600012497976], [140.0, 0.03661929999361746], [140.0, 0.05447560001630336], [140.0, 0.07135330000892282], [140.0, 0.08897640000213869], [140.0, 0.1061671000206843], [140.0, 0.12214029999449849], [140.0, 0.138800100015942], [140.0, 0.15506530000129715], [140.0, 0.17228570001316257], [140.0, 0.1869425000040792], [140.0, 0.20309600001201034], [140.0, 0.21916460001375526], [140.0, 0.23551339999539778], [140.0, 0.25234740000450984], [140.0, 0.27028389999759383], [140.0, 0.2906174999952782], [140.0, 0.30673470001784153], [140.0, 0.32179919999907725], [140.0, 0.3355932999984361], [140.0, 0.3503318000002764], [140.0, 0.3566984000208322], [140.0, 0.36910949999582954], [140.0, 0.3838774000178091], [140.0, 0.3902898000087589], [140.0, 0.4033456000033766], [140.0, 0.4189595000061672], [140.0, 0.434186900005443], [140.0, 0.45173550001345575], [140.0, 0.470099800004391], [140.0, 0.4900461999932304], [140.0, 0.506560800014995], [140.0, 0.52128710001125], [140.0, 0.5398617000028025]]","[[-0.0, 0.00010980002116411924], [-0.0, 0.005269700021017343], [-0.0, 0.019689600012497976], [-0.0, 0.03661929999361746], [-0.0, 0.05447560001630336], [-0.0, 0.07135330000892282], [-0.0, 0.08897640000213869], [-0.0, 0.1061671000206843], [-0.0, 0.12214029999449849], [-0.0, 0.138800100015942], [-0.0, 0.15506530000129715], [-0.0, 0.17228570001316257], [-0.0, 0.1869425000040792], [-0.0, 0.20309600001201034], [-0.0, 0.21916460001375526], [-0.0, 0.23551339999539778], [-0.0, 0.25234740000450984], [-0.0, 0.27028389999759383], [-0.0, 0.2906174999952782], [-0.0, 0.30673470001784153], [-0.0, 0.32179919999907725], [-0.0, 0.3355932999984361], [-0.0, 0.3503318000002764], [-0.0, 0.3566984000208322], [-0.0, 0.36910949999582954], [-0.0, 0.3838774000178091], [-0.0, 0.3902898000087589], [-0.0, 0.4033456000033766], [-0.0, 0.4189595000061672], [-0.0, 0.434186900005443], [-0.0, 0.45173550001345575], [-0.0, 0.470099800004391], [-0.0, 0.4900461999932304], [-0.0, 0.506560800014995], [-0.0, 0.52128710001125], [-0.0, 0.5398617000028025]]",S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-04-16_17h49.23.439,None,
./amsterdam_dynamic_facial_expression_set/F01-Disgust-Face Forward.mp4,arousal,left,HV-LA,inverse,0,,0,3,3,3,,,,,"[[0.0, 0.014713199983816594], [0.0, 0.03205290000187233], [0.0, 0.04413589998148382], [0.0, 0.06392879999475554], [0.0, 0.08056549998582341], [0.0, 0.09710409998660907], [0.0, 0.11490399998729117], [0.0, 0.13167360000079498], [0.0, 0.14893840000149794], [0.0, 0.16721369998413138], [0.0, 0.18459409999195486], [0.0, 0.20084499998483807], [0.0, 0.2220886999857612], [0.0, 0.2388881999941077], [0.0, 0.2561379999970086], [0.0, 0.27091229998040944], [0.0, 0.2888822999957483], [0.0, 0.3060457999818027], [0.0, 0.3230162999825552], [0.0, 0.33876579999923706], [0.0, 0.3557825000025332], [0.0, 0.37321190000511706], [0.0, 0.39774519999627955], [0.0, 0.41067650000331923], [0.0, 0.4274225999834016], [0.0, 0.4491598999884445], [0.0, 0.46518689999356866], [0.0, 0.4799098999937996], [0.0, 0.4970807999779936], [0.0, 0.5151294999814127], [0.0, 0.530802199995378], [0.0, 0.5467712999961805], [0.0, 0.5637073999969289], [0.0, 0.5820934999792371], [0.0, 0.5974521999887656], [0.0, 0.6149178000050597], [0.0, 0.6316586000029929], [0.0, 0.6486275999923237], [0.0, 0.6644956999807619], [0.0, 0.6812003999948502]]",6.01,,,,,,,,,,,,,,,,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-04-16_17h49.23.439,None,
./amsterdam_dynamic_facial_expression_set/F03-Surprise-Face Forward.mp4,arousal,right,HV-LA,inverse,,8,,,,,0,0,0,1,"[[0.0, 0.005561600002693012], [0.0, 0.019722199998795986], [0.0, 0.03740299999481067], [0.0, 0.05550260000745766], [0.0, 0.07234650000464171], [0.0, 0.0889409999945201], [0.0, 0.10467349999817088], [0.0, 0.1211059000052046], [0.0, 0.13639309999416582], [0.0, 0.15378280001459643], [0.0, 0.17031499999575317], [0.0, 0.18779140000697225], [0.0, 0.20445320001454093], [0.0, 0.22129399998812005], [0.0, 0.23779519999516197], [0.0, 0.2548143999883905], [0.0, 0.2712353999959305], [0.0, 0.29008239999529906], [0.0, 0.3039349000027869], [0.0, 0.3217084000061732], [0.0, 0.337719900009688], [0.0, 0.3550693000142928], [0.0, 0.37060170000768267], [0.0, 0.3882828000059817], [0.0, 0.40456550000817515], [0.0, 0.42129019999993034], [0.0, 0.43818719999399036], [0.0, 0.455479700001888], [0.0, 0.47089160000905395], [0.0, 0.4877598999883048], [0.0, 0.5037708999880124], [0.0, 0.5226082000008319], [0.0, 0.5377573999867309], [0.0, 0.5548305000120308], [0.0, 0.571151899988763], [0.0, 0.5873316999932285], [0.0, 0.6034188999910839], [0.0, 0.6212743000069167], [0.0, 0.6378828999877442], [0.0, 0.6550302999967244], [0.0, 0.6727947999897879], [0.0, 0.6893683999951463], [0.0, 0.7037092999962624], [0.0, 0.7206018000142649], [0.0, 0.7376226999913342], [0.0, 0.7539980000001378], [0.0, 0.7702874999959022], [0.0, 0.7873315000033472], [0.0, 0.8027728000015486], [0.0, 0.8175115000049118], [0.0, 0.8349739999976009], [0.0, 0.8529715999902692], [0.0, 0.8692123999935575], [0.0, 0.8869440999988001], [0.0, 0.9019663000071887], [0.0, 0.9167226999998093], [0.0, 0.9333284999884199], [0.0, 0.9397724000154994], [0.0, 0.9514920999936294], [0.0, 0.9667978000070434], [0.0, 0.973097800015239], [0.0, 0.9855023999989498], [0.0, 1.0014793000009377], [0.0, 1.0178761999995913], [0.0, 1.0355249000131153], [0.0, 1.0522964000119828], [0.0, 1.0689169999968726], [0.0, 1.0855840000149328], [0.0, 1.1024765000038315], [0.0, 1.1197634999989532], [0.0, 1.1380893999885302], [0.0, 1.1577208999951836], [0.0, 1.1739175000111572], [0.0, 1.1875396000104956], [0.0, 1.2038840999884997], [0.0, 1.220073600008618], [0.0, 1.2379379000049084], [0.0, 1.254191299987724], [0.0, 1.2704856999916956], [0.0, 1.2864476999966428], [0.0, 1.3027545000077225], [0.0, 1.3212328999943566], [0.0, 1.3371394000132568], [0.0, 1.3536536000028718], [0.0, 1.3717647999874316], [0.0, 1.388017499994021], [0.0, 1.4047482000023592], [0.0, 1.4216220999951474], [0.0, 1.4385635000071488], [0.0, 1.453085999994073], [0.0, 1.4723730999976397], [0.0, 1.4879969999892637], [0.0, 1.5042597000137903], [0.0, 1.5206787000061013], [0.0, 1.5377703999984078], [0.0, 1.5558435000129975], [0.0, 1.572411800007103], [0.0, 1.5879174000001512], [0.0, 1.6039110000128858], [0.0, 1.620721399987815], [0.0, 1.6374247999920044], [0.0, 1.6537417999934405], [0.0, 1.6708374999871012], [0.0, 1.687663499993505], [0.0, 1.703547899989644], [0.0, 1.7215491000097245], [0.0, 1.7385408999980427], [0.0, 1.7555283000110649], [0.0, 1.7708235000027344], [0.0, 1.7871787000040058], [0.0, 1.8042869000055362], [0.0, 1.8205728000029922], [0.0, 1.8372144000022672], [0.0, 1.8540620999992825], [0.0, 1.8708872999995947], [0.0, 1.8885183999955188], [0.0, 1.9045774000114761], [0.0, 1.9211778999888338], [0.0, 1.938967900001444], [0.0, 1.9549741999944672], [0.0, 1.9716977000061888], [0.0, 1.9869761999871116], [0.0, 2.0036929000052623], [0.0, 2.0206238999962807], [0.0, 2.038369199988665], [0.0, 2.0557862000132445], [0.0, 2.070586899993941], [0.0, 2.0876134000136517], [0.0, 2.1041505000030156], [0.0, 2.121155600005295], [0.0, 2.137999700004002], [0.0, 2.1551428000093438], [0.0, 2.171862899995176], [0.0, 2.189650599990273], [0.0, 2.204275800002506], [0.0, 2.2208693000138737], [0.0, 2.2365032999950927], [0.0, 2.253159499989124], [0.0, 2.271149400010472], [0.0, 2.2887939999927767], [0.0, 2.3057776000059675], [0.0, 2.3227478000044357], [0.0, 2.3357752000156324], [0.0, 2.3531853999884333], [0.0, 2.371095999988029], [0.0, 2.3876710000040475], [0.0, 2.402537599991774], [0.0, 2.417912900011288], [0.0, 2.4333612000045832], [0.0, 2.4504242000111844], [0.0, 2.4667906000104267], [0.0, 2.4834384999994654], [0.0, 2.5015126999933273], [0.0, 2.5202232000010554], [0.0, 2.542207899998175], [0.0, 2.556004399986705], [0.0, 2.5695476999972016], [0.0, 2.5874991999880876], [0.0, 2.6035286000114866], [0.0, 2.622054500010563], [0.0, 2.63691669999389], [0.0, 2.6532608999987133], [0.0, 2.670903099991847], [0.0, 2.6872945000068285], [0.0, 2.7037703999958467], [0.0, 2.7199706000101287], [0.0, 2.7367723000061233], [0.0, 2.752954299998237], [0.0, 2.7727274000062607], [0.0, 2.7874906999932136], [0.0, 2.803495900006965], [0.0, 2.8199339999991935], [0.0, 2.839926699991338], [0.0, 2.85564140000497], [0.0, 2.8699495999899227], [0.0, 2.8874083000118844], [0.0, 2.904209300002549], [0.0, 2.9207948000112083], [0.0, 2.9371974999958184], [0.0, 2.953167500003474], [0.0, 2.9727069000073243], [0.0, 2.988229600014165], [0.0, 3.00373799999943], [0.0, 3.0184453999972902], [0.0, 3.0336957999970764], [0.0, 3.039967999997316], [0.0, 3.051989700004924], [0.0, 3.0674517000152264], [0.0, 3.0834619000088423], [0.0, 3.1002227000135463], [0.0, 3.106579100014642], [0.0, 3.1185903000005055], [0.0, 3.1345281999965664], [0.0, 3.152347199997166], [0.0, 3.168720299989218], [0.0, 3.185601000004681], [0.0, 3.201888899988262], [0.0, 3.219773399992846], [0.0, 3.240934000001289], [0.0, 3.2567938000138383], [0.0, 3.269984699989436], [0.0, 3.2872796000156086], [0.0, 3.3047621000150684], [0.0, 3.320344200008549], [0.0, 3.33758660001331], [0.0, 3.354170000005979], [0.0, 3.3701347000023816], [0.0, 3.3873199000081513], [0.0, 3.404624699993292], [0.0, 3.421278199995868], [0.0, 3.4380973000079393], [0.0, 3.455224500008626], [0.0, 3.470861000008881], [0.0, 3.4877522999886423], [0.0, 3.504858600004809], [0.0, 3.521918300015386], [0.0, 3.5375414000009187], [0.0, 3.553469900012715], [0.0, 3.571120900014648], [0.0, 3.587544300011359], [0.0, 3.604441000003135], [0.0, 3.621550300013041], [0.0, 3.637960699998075], [0.0, 3.653802999993786], [0.0, 3.6709492999943905], [0.0, 3.687891000008676], [0.0, 3.704644100012956], [0.0, 3.720182899996871], [0.0, 3.7377344999986235], [0.0, 3.7541532999894116], [0.0, 3.771364899992477], [0.0, 3.7872291000094265], [0.0, 3.8043513000011444], [0.0, 3.8212908999994397], [0.0, 3.8382840999984182], [0.0, 3.8547879999969155], [0.0, 3.8721440999943297], [0.0, 3.8873285000154283], [0.0, 3.9048887999961153], [0.0, 3.9228322000126354], [0.0, 3.9381602999928873], [0.0, 3.9546566999924835], [0.0, 3.9721833000076003], [0.0, 3.9885265000048093], [0.0, 4.006101800012402], [0.0, 4.024644399993122], [0.0, 4.0388308000110555], [0.0, 4.054323299991665], [0.0, 4.070637299999362], [0.0, 4.087157900008606], [0.0, 4.103632699989248], [0.0, 4.120131400006358], [0.0, 4.136481099994853], [0.0, 4.152853800012963], [0.0, 4.171682899992447], [0.0, 4.189541700005066], [0.0, 4.2034604999935254], [0.0, 4.219630600011442], [0.0, 4.236989099998027], [0.0, 4.2537879000010435], [0.0, 4.270318800001405], [0.0, 4.28898010001285], [0.0, 4.304363300005207], [0.0, 4.31976320000831], [0.0, 4.338625500007765], [0.0, 4.353019400004996], [0.0, 4.3700657000008505], [0.0, 4.385972499992931], [0.0, 4.405704600008903], [0.0, 4.42184090000228], [0.0, 4.43709319998743], [0.0, 4.454546199995093], [0.0, 4.470796800014796], [0.0, 4.486985800002003], [0.0, 4.502756100002443], [0.0, 4.519571400014684], [0.0, 4.537149799987674], [0.0, 4.5551763999974355], [0.0, 4.571343199990224], [0.0, 4.587001500010956], [0.0, 4.6022513000061736], [0.0, 4.617415999993682], [0.0, 4.635274300002493], [0.0, 4.65298939999775], [0.0, 4.6721821000101045], [0.0, 4.686475099995732], [0.0, 4.700057899986859], [0.0, 4.705144500010647], [0.0, 4.717442799999844], [0.0, 4.7332186000130605], [0.0, 4.750685000006342], [0.0, 4.769270599994343], [0.0, 4.7845545999880414], [0.0, 4.801663699996425], [0.0, 4.820196499989834], [0.0, 4.837256700004218], [0.0, 4.85640700001386], [0.0, 4.871927700005472], [0.0, 4.886439699999755], [0.0, 4.903679400013061], [0.0, 4.9234271000023], [0.0, 4.938974299991969], [0.0, 4.95281960000284], [0.0, 4.970923499990022], [0.0, 4.987913799996022], [0.0, 5.0025016000145115], [0.0, 5.018700799992075], [0.0, 5.036717300012242], [0.0, 5.055370999994921], [0.0, 5.070294900011504], [0.0, 5.087081400008174], [0.0, 5.103504700004123], [0.0, 5.12048829998821], [0.0, 5.135245599987684], [0.0, 5.150512499996694], [0.0, 5.1670833000098355], [0.0, 5.183852299989667], [0.0, 5.20057079999242], [0.0, 5.216918999998597], [0.0, 5.23345229998813], [0.0, 5.240091999992728], [0.0, 5.2522930999984965], [0.0, 5.267519399989396], [0.0, 5.284924100007629], [0.0, 5.302399400010472], [0.0, 5.3170947000035085], [0.0, 5.3341462000098545], [0.0, 5.35210809999262], [0.0, 5.368824600009248], [0.0, 5.387389300012728], [0.0, 5.405010399990715], [0.0, 5.42096990000573], [0.0, 5.438028000004124], [0.0, 5.454536700010067], [0.0, 5.470820099988487], [0.0, 5.4878804000036325], [0.0, 5.503529999987222], [0.0, 5.520646599994507], [0.0, 5.5373664000071585], [0.0, 5.554445699992357], [0.0, 5.5697155999951065], [0.0, 5.589304099994479], [0.0, 5.6052830000116955], [0.0, 5.62163259999943], [0.0, 5.6373422000033315], [0.0, 5.655020100006368], [0.0, 5.671004100004211], [0.0, 5.688187499996275], [0.0, 5.702878100011731], [0.0, 5.720844499999657], [0.0, 5.738509899994824], [0.0, 5.756616500002565], [0.0, 5.773596499988344], [0.0, 5.788162300013937], [0.0, 5.804094999999506], [0.0, 5.822209000005387], [0.0, 5.836783100006869], [0.0, 5.854151300009107], [0.0, 5.871407500002533], [0.0, 5.887391900003422], [0.0, 5.902293899998767], [0.0, 5.918403699994087]]",6.01,None,None,None,None,None,False,False,False,False,False,False,False,"[[0.0, 13.398622200009413], [0.0, 13.40516709999065], [0.0, 13.419073099998059], [0.0, 13.433701700007077], [0.0, 13.440015900006983], [0.0, 13.453367400012212], [0.0, 13.469178800005466], [0.0, 13.487686300009955], [0.0, 13.508738400007132], [0.0, 13.521864300011657], [0.0, 13.539248899993254], [0.0, 13.553525099996477], [0.0, 13.57284169999184], [0.0, 13.590756599995075], [0.0, 13.607085800002096], [0.0, 13.619777999992948], [0.0, 13.63385610000114], [0.0, 13.640376800001832], [0.0, 13.652015200001188], [0.0, 13.666820799990091], [0.0, 13.673478500015335], [0.0, 13.685221099993214], [0.0, 13.700418599997647], [0.0, 13.70676880000974], [0.0, 13.718748399987817], [0.0, 13.73517709999578]]","[[140.0, 0.00011510000331327319], [140.0, 0.0066491999896243215], [140.0, 0.02047560000210069], [140.0, 0.035252600006060675], [140.0, 0.04179759998805821], [140.0, 0.05456489999778569], [140.0, 0.07008130001486279], [140.0, 0.08842270000604913], [140.0, 0.10857169999508187], [140.0, 0.12317589999292977], [140.0, 0.13994090000051074], [140.0, 0.15481790000922047], [140.0, 0.172874599986244], [140.0, 0.190983700013021], [140.0, 0.20736679999390617], [140.0, 0.22129809999023564], [140.0, 0.23548629999277182], [140.0, 0.2421796999988146], [140.0, 0.2536495999956969], [140.0, 0.26850909998756833], [140.0, 0.2752663000137545], [140.0, 0.2869096999929752], [140.0, 0.30208950000815094], [140.0, 0.30850079999072477], [140.0, 0.32038079999620095], [140.0, 0.3365781999891624]]","[[-0.0, 0.00011510000331327319], [-0.0, 0.0066491999896243215], [-0.0, 0.02047560000210069], [-0.0, 0.035252600006060675], [-0.0, 0.04179759998805821], [-0.0, 0.05456489999778569], [-0.0, 0.07008130001486279], [-0.0, 0.08842270000604913], [-0.0, 0.10857169999508187], [-0.0, 0.12317589999292977], [-0.0, 0.13994090000051074], [-0.0, 0.15481790000922047], [-0.0, 0.172874599986244], [-0.0, 0.190983700013021], [-0.0, 0.20736679999390617], [-0.0, 0.22129809999023564], [-0.0, 0.23548629999277182], [-0.0, 0.2421796999988146], [-0.0, 0.2536495999956969], [-0.0, 0.26850909998756833], [-0.0, 0.2752663000137545], [-0.0, 0.2869096999929752], [-0.0, 0.30208950000815094], [-0.0, 0.30850079999072477], [-0.0, 0.32038079999620095], [-0.0, 0.3365781999891624]]",S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-04-16_17h49.23.439,None,
,,,,,,,,,,,,,,,"[[0.0, 0.012684899993473664]]",6.01,None,None,None,None,None,False,False,False,False,False,False,False,,,,,,,,,,
