movie_path,emotion,stim_gender,correct_response,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,Valencia_value,Arousal_value,Preferencia_value,Engagement_value,Familiaridad_value,Subject_id,Age,Gender,Group,date,frame_rate,
./amsterdam_dynamic_facial_expression_set/M02-Surprise-Face Forward.mp4,Suprise,male,6.0,0,0,0,1,,,,,None,None,None,None,None,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-01-30_17h56.14.999,59.470180187419395,
./amsterdam_dynamic_facial_expression_set/F03-Fear-Face Forward.mp4,Fear,female,2.0,0,1,1,0,,,,,None,None,None,None,None,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-01-30_17h56.14.999,59.470180187419395,
green_screen,None,None,None,0,2,2,2,,,,,None,None,None,None,None,S6,21,"['Male', 'Female', 'Non-binary', 'Rather not say']","['Test', 'Control']",2024-01-30_17h56.14.999,59.470180187419395,
