movie_path,dimension,hand,stimulus_type,order_emojis_slider,block
./amsterdam_dynamic_facial_expression_set/F03-Anger-Face Forward.mp4,arousal,left,HV-HA,direct ,7
./amsterdam_dynamic_facial_expression_set/F03-Disgust-Face Forward.mp4,arousal,left,HV-LA,inverse,7
./amsterdam_dynamic_facial_expression_set/F03-Fear-Face Forward.mp4,arousal,left,LV-HA,direct,7
./amsterdam_dynamic_facial_expression_set/F03-Joy-Face Forward.mp4,arousal,left,LV-LA,inverse,7
