"movie_path","Dimension"
"green_screen","Luminancia"
"./amsterdam_dynamic_facial_expression_set/F03-Fear-Face Forward.mp4","Arousal"
"./amsterdam_dynamic_facial_expression_set/M02-Surprise-Face Forward.mp4","Valencia"
