condsFile,dimension,luminance
../conditions/B/B_block_5_valence_left.csv,valence,no
../conditions/B/B_block_6_valence_left.csv,valence,no
../conditions/B/B_block_7_arousal_left.csv,arousal,no
../conditions/B/B_block_8_arousal_left.csv,arousal,no
