id,movie_path,dimension,hand,stimulus_type,order_emojis_slider,block,luminance
1,../stimuli/exp_videos/2D/1.mp4,arousal,right,positive,direct ,2,no
5,../stimuli/exp_videos/2D/5.mp4,arousal,right,positive,inverse,2,no
11,../stimuli/exp_videos/2D/11.mp4,arousal,right,negative,direct,2,yes
10,../stimuli/exp_videos/2D/10.mp4,arousal,right,negative,inverse,2,no
