id,movie_path,dimension,hand,stimulus_type,order_emojis_slider,block,luminance
6,../stimuli/exp_videos/2D/6.mp4,valence,right,positive,direct ,3,no
14,../stimuli/exp_videos/2D/14.mp4,valence,right,negative,inverse,3,yes
13,../stimuli/exp_videos/2D/13.mp4,valence,right,negative,direct,3,no
