id,movie_path,dimension,hand,stimulus_type,order_emojis_slider,block
1,../stimuli/exp_videos/2D/1.mp4,arousal,right,positive,direct ,2
5,../stimuli/exp_videos/2D/5.mp4,arousal,right,positive,inverse,2
11,../stimuli/exp_videos/2D/11.mp4,arousal,right,negative,direct,2
10,../stimuli/exp_videos/2D/10.mp4,arousal,right,negative,inverse,2
