id,movie_path,dimension,hand,stimulus_type,order_emojis_slider,block,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,continuous_annotation,video_duration,valence_value,arousal_value,preference_value,engagement_value,familiarity_value,checkbox_Neutral,checkbox_Asco,checkbox_Felicidad,checkbox_Sorpresa,checkbox_Ira,checkbox_Miedo,checkbox_Tristeza,ID,Sesion,Tarea,Consumo de sustancias psicoactivas en las últimas 24 hs,Horas de sueño la noche anterior,date,exp_name,frame_rate,
99,../amsterdam_dynamic_facial_expression_set/F01-Fear-Face Forward.mp4,valence,right,LV-HA,direct,-1,0,0,0,0,,,,,"[[0.0, 0.025244000018574297], [0.0, 0.04173629998695105], [0.0, 0.058297500014305115], [0.0, 0.07489679998252541], [0.0, 0.0916483000619337], [0.0, 0.10831350006628782], [0.0, 0.12488470005337149], [0.0, 0.14162260002922267], [0.0, 0.15867130004335195], [0.0, 0.17494349996559322], [0.0, 0.19161540002096444], [0.0, 0.20828720007557422], [0.0, 0.22501529997680336], [0.0, 0.24170320003759116], [0.0, 0.25825940002687275], [0.0, 0.2749624999705702], [0.0, 0.2916354000335559], [0.0, 0.3083712999941781], [0.0, 0.3249474000185728]]",0.0,,,,,,,,,,,,,38,A,non_immersive,No,8,2024-05-03_13h03.12.992,Experiment_VR_non_immersive,59.98156168116166,
,,,,,,,,,,,,,,,"[[ 0.          0.0120263 ]
 [ 0.          0.0287185 ]
 [ 0.          0.0452813 ]
 [ 0.          0.062442  ]
 [ 0.          0.0785389 ]
 [ 0.          0.0962583 ]
 [ 0.          0.1118957 ]
 [ 0.          0.1295799 ]
 [ 0.          0.1452291 ]
 [ 0.          0.1629662 ]
 [ 0.          0.1785414 ]
 [ 0.          0.196179  ]
 [ 0.          0.2118574 ]
 [ 0.          0.2295646 ]
 [ 0.          0.2453451 ]
 [ 0.          0.2630154 ]
 [ 0.          0.2785358 ]
 [ 0.          0.2963215 ]
 [ 0.          0.3118323 ]
 [ 0.          0.3294287 ]
 [ 0.          0.3451308 ]
 [ 0.          0.3627806 ]
 [ 0.          0.3784693 ]
 [ 0.          0.3961235 ]
 [ 0.          0.4117682 ]
 [ 0.          0.4293399 ]
 [ 0.          0.4451191 ]
 [ 0.          0.4628777 ]
 [ 0.          0.4786813 ]
 [ 0.          0.4963187 ]
 [ 0.          0.5119893 ]
 [ 0.          0.529405  ]
 [ 0.          0.5452215 ]
 [ 0.          0.5627741 ]
 [ 0.          0.5787104 ]
 [ 0.          0.5961683 ]
 [ 0.          0.6117775 ]
 [ 0.          0.6294485 ]
 [ 0.          0.6451419 ]
 [ 0.          0.6628113 ]
 [ 0.          0.6784699 ]
 [ 0.          0.6961051 ]
 [ 0.          0.7117731 ]
 [ 0.          0.7293051 ]
 [ 0.          0.7451004 ]
 [ 0.          0.7628149 ]
 [ 0.          0.7785541 ]
 [ 0.          0.7960219 ]
 [ 0.          0.8117484 ]
 [ 0.          0.8294169 ]
 [ 0.          0.8451022 ]
 [-0.04416903  0.8627918 ]
 [-0.05153053  0.878477  ]
 [-0.05153053  0.8960046 ]
 [ 0.          0.9117946 ]
 [ 0.21348364  0.9295502 ]
 [ 0.39015975  0.9450902 ]
 [ 0.41224427  0.9626942 ]
 [ 0.50058232  0.9785512 ]
 [ 0.53738985  0.9960304 ]
 [ 0.69934295  1.0118153 ]
 [ 0.75823499  1.0293982 ]
 [ 0.9275496   1.0451277 ]
 [ 1.          1.0627892 ]
 [ 1.          1.0784776 ]
 [ 1.          1.0963184 ]
 [ 1.          1.1118207 ]
 [ 1.          1.1295087 ]
 [ 1.          1.1451233 ]
 [ 1.          1.1628432 ]
 [ 1.          1.178417  ]
 [ 1.          1.1962162 ]
 [ 1.          1.2117919 ]
 [ 1.          1.229595  ]
 [ 1.          1.2452297 ]
 [ 1.          1.2629957 ]
 [ 1.          1.2784836 ]
 [ 1.          1.2962669 ]
 [ 1.          1.3118252 ]
 [ 1.          1.3296145 ]
 [ 0.89074208  1.345229  ]
 [ 0.69934295  1.3628677 ]
 [ 0.51530533  1.378555  ]
 [ 0.48585931  1.3961026 ]
 [ 0.39015975  1.4119532 ]
 [ 0.34599072  1.4293942 ]
 [ 0.19139912  1.4450832 ]
 [ 0.01472301  1.4628905 ]
 [-0.10306107  1.4785743 ]
 [-0.19139912  1.4960573 ]
 [-0.23556815  1.5117899 ]
 [-0.27237568  1.5295228 ]
 [-0.34599072  1.545167  ]
 [-0.36807524  1.562807  ]
 [-0.47113631  1.5785728 ]
 [-0.49322082  1.5960006 ]
 [-0.58892038  1.6118226 ]
 [-0.60364339  1.6294534 ]
 [-0.66989693  1.6450837 ]
 [-0.70670446  1.6628417 ]
 [-0.71406596  1.6785663 ]
 [-0.72142747  1.6960656 ]
 [-0.72142747  1.711861  ]
 [-0.72878897  1.7294729 ]
 [-0.75087349  1.7451553 ]
 [-0.75087349  1.7628908 ]
 [-0.75087349  1.7784875 ]
 [-0.75087349  1.7961269 ]
 [-0.75823499  1.8117703 ]
 [-0.75823499  1.8295829 ]
 [-0.75823499  1.8453694 ]
 [-0.75823499  1.8630164 ]
 [-0.75823499  1.8785164 ]
 [-0.75823499  1.8961329 ]
 [-0.75823499  1.9117972 ]
 [-0.75823499  1.9295443 ]
 [-0.75823499  1.9452377 ]
 [-0.75823499  1.9628841 ]
 [-0.75823499  1.978589  ]
 [-0.75823499  1.996095  ]
 [-0.75823499  2.0117895 ]
 [-0.75823499  2.0294547 ]
 [-0.75823499  2.0452684 ]
 [-0.75823499  2.0629537 ]
 [-0.75823499  2.0786408 ]
 [-0.75823499  2.0961474 ]
 [-0.75823499  2.1118304 ]
 [-0.75823499  2.1295647 ]
 [-0.75823499  2.1452592 ]
 [-0.75823499  2.1628888 ]
 [-0.75823499  2.1785533 ]
 [-0.75823499  2.1961934 ]
 [-0.75823499  2.2119144 ]
 [-0.75823499  2.2296404 ]
 [-0.75823499  2.2452642 ]
 [-0.75823499  2.262885  ]
 [-0.75823499  2.2785343 ]
 [-0.75823499  2.2961554 ]
 [-0.75823499  2.3118102 ]
 [-0.75823499  2.3294169 ]]",0.0,None,None,None,None,None,False,False,False,False,False,False,False,,,,,,,,,
