id,movie_path,dimension,hand,stimulus_type,order_emojis_slider,block
6,../stimuli/exp_videos/2D/6.mp4,arousal,left,positive,inverse,7
14,../stimuli/exp_videos/2D/14.mp4,arousal,left,negative,direct,7
13,../stimuli/exp_videos/2D/13.mp4,arousal,left,negative,inverse,7
