id,movie_path,dimension,hand,stimulus_type,order_emojis_slider,block,luminance
2,"../stimuli/exp_videos/2D/2.mp4",arousal,right,positive,direct ,8,no
3,../stimuli/exp_videos/2D/3.mp4,arousal,right,positive,inverse,8,no
12,"../stimuli/exp_videos/2D/12.mp4",arousal,right,negative,direct,8,no
